G5E962 Q9URQ5
Q9Y294 P02309
EBI-11522238 O14641
J3KPQ4 EBI-11522220
EBI-11522208 A0A0C4DGS5
EBI-11522220 P14136
EBI-11522279 O95994
O43765 EBI-11522265
O15156-2 EBI-11522220
P43355 EBI-11522208
EBI-11522307 P40855
P14317 EBI-11522220
Q13829 EBI-11522371
Q13422-7 EBI-11522371
EBI-11522220 Q13191
P63279 EBI-11522346
P51116 EBI-11522220
EBI-11522208 P43358
EBI-11522371 Q5JR59-3
Q53EZ4 EBI-11522371
Q16637-3 EBI-11522403
EBI-11522403 Q16637
Q15427 EBI-11522220
EBI-11522494 Q969F0
EBI-11522220 Q92841
Q8NHQ1 EBI-11522371
EBI-11522371 Q8NEH6
Q8N6Y0 EBI-11522208
Q5TD97 EBI-11522444
EBI-11522552 Q9C005
EBI-11522371 Q96MT8-3
Q96IK5 EBI-11522371
Q96BA8 EBI-11522518
Q969F0 EBI-11522506
EBI-11522552 Q9UGJ1-2
EBI-11522208 Q9NPJ6
EBI-11522575 Q9HD26-2
Q9H9H4 EBI-11522220
Q9UMX0 EBI-11522614
Q9UJX2 EBI-11522371
P43365 O13539
O13539 O14964
H3BTW2 O13539
EBI-11522626 Q9UMX0
P00330 Q15645
O14468 Q9P2A4
Q9BYV6-2 O14468
O14468 Q8TC20-4
O13566 O14964
Q96ED9-2 O13541
Q96HT8 O14468
O13539 Q15834
P01097 Q8IUQ4-2
O43765 P00724
Q9UMX0 P00431
Q96DZ9-2 P00431
Q969L2 P00431
P00431 Q6RW13-2
P00431 P43355
P01098 Q96MT8-3
P01097 Q9C0F1
P01097 Q96MT8-3
P01123 Q96CV9-2
Q96CV9 P01123
Q96DZ9-2 P04819
P04819 Q969L2
P04819 Q6RW13-2
P04819 Q15041
P04046 P63279
Q96BA8 P05375
P06782 EBI-11522976
P06782 A4D127
Q8N6L0 P06197
P05759 Q13137
Q92997 P05738
P05738 O14641
P06787 O94983-5
Q9UKT9 P06782
Q9BQ66 P06782
Q99750 P06782
P54619 P06782
P06782 P14373
P06782 O43597
P0CD91 Q8N6L0
Q9NZL4-3 P09435
P09435 Q9NZL4
P09201 P09467
P08458 Q9NWX6
P10659 P31153
P10507 Q96IK5
Q8WTU0 P10507
Q15038 P0CH08
P0CH08 Q13137
P0CH08 E9PFK9
Q8N6L0 P11972
Q53EZ4 P11972
P11747 EBI-11523186
P10823 Q9GZZ9
Q02818 P10823
Q15025 P12945
P12709 Q13501
Q9C0F1 P12612
Q96BR9 P12612
P12612 Q15041
P12612 P23497-2
P12612 O60232
P14905 O95273
Q86V42-3 P13186
Q9Y5P4-2 P13130
Q9UMX0 P13130
P13130 Q8TAP6
P12945 Q8N6L0
Q9BSE2 P15303
Q8IYX7 P15303
O75477 P15303
P15202 Q9ULX6
P15202 Q9NRG1
P14907 Q8IYF3-3
P15732 Q9HCM9-2
P14373 P15705
P15646 Q16637
Q9HD26-2 P15625
P15625 O15162
P15365 Q969F0
P30260-2 P15873
Q8N0S2 P15807
P15732 Q9Y4K3
P15732 Q9UJV3-2
P16622 Q13554-3
Q9NYB9-2 P16523
P15873 P63279
A0A0C4DGS5 P17157
O96006 P17157
P17214 EBI-11523568
Q9NSC5 P17157
P17695 Q96EQ0
P17695 O43765
P17423 P63279
P17255 P43355
P17214 O14641
EBI-11522976 P18961
P18496 Q6RW13-2
Q9Y6N9-4 P17967
P17709 Q14145
P19955 Q13643
P31153 P19358
Q9UGJ1-2 P18961
P18961 Q9BRK4
P18961 O00444
O43186 P20053
A0A024R0Y4 P20053
EBI-11522976 P20053
O75928-2 P20049
P20053 Q8NHQ1
P20053 Q8N6Y0
Q8N684-3 P20053
P14373 P20053
P20081 P53992
P20081 A0A0C4DGF1
Q9UJV3-2 P20053
P20081 Q16630-3
P20081 Q16630-2
P20081 Q15427
P81877 P20081
P20133 Q15008
EBI-11523890 P20107
Q5D1E8 P20095
P20081 Q9Y2W2
P20081 Q8N684-3
A0A0C4DGS5 P20676
Q96IK5 P20459
P20133 Q9UJC3
Q9HD26-2 P21651
Q96IK5 P21651
P51116 P20676
P22217 Q96D03
P22215 Q15437
Q9HCM9-2 P21734
Q9C040 P21734
P21734 O95376
P23059 Q13422-7
Q96D03 P22803
P22803 Q8TBB1
P22354 O95273
P23285 P46379-2
P23059 Q9UFD9
Q9BYV6-2 P23180
Q9UKT9 P23059
P23059 Q9UJV3-2
P23285 Q9Y2W7
Q5JR59-3 P23293
P23968 Q8N6L0
Q96BA8 P23968
A0A0C4DGS5 P23293
Q9BTE3-2 P24279
Q6RW13-2 P24280
Q96DZ9-2 P24280
Q9H972-2 P25044
P25299 Q7Z3B4
P25299 Q9HD26-2
P25299 Q9UJ83
O15217 P25335
Q9BW62 P25337
Q9H9H4 P25343
Q969F0 P25353
P25343 P14136
O15156-2 P25343
Q15427 P25343
P63279 P25354
P25372 A0A0C4DGS5
P25372 O14641
P25372 EBI-11524292
P25372 O95073-2
P25372 O43379
P25372 P01100
P25372 Q12800
P25372 P14373
P25372 P19012
P25372 Q13643
P25372 Q13422-7
Q8IYA8 P25372
P25372 Q8IUQ4-2
P25372 Q5T124-6
Q15654 P25372
P25372 Q96BR9
Q8NHQ1 P25372
Q8NF99-2 P25372
Q8N9N5-2 P25372
Q8N7W2-2 P25372
P25375 Q9NPC3
P25372 Q9Y3Q8
Q9NYB9-2 P25372
Q9NVV9 P25372
P25372 Q9BRK4
P25377 P61371
P43365 P25377
P25377 P38432
O76083-2 P25377
P25566 Q12800
P25515 P63279
P25453 P63279
P25385 Q12846
P25377 Q8WXE1-3
P63279 P25611
P25586 Q96BR9
P25586 O95751
P25566 Q93062-3
Q8N9N5-2 P25566
P25635 O00635
Q8TBB1 P25631
P25631 O14874
Q96BA8 P25619
P25638 P24278
Q8N4C7 P25635
Q2NKX8 P25635
Q96HT8 P25637
P26343 Q13643
P26343 A0A0C4DGS5
Q969F0 P25656
Q9BQY9-2 P25651
P25641 Q96HH9
P26448 O15156-2
P26343 Q9HCM9-2
P26343 Q8IYF3-3
P10644 P27344
P26448 Q96AA8
P26448 Q8NA61-2
P26448 Q8N6Y0
P26448 Q5JST6
P27882 Q9HD26-2
P63279 P27515
Q14141-4 P27476
P14373 P28004
P28004 O95751
O15156-2 P28004
A0A0C4DGS5 P28004
P28004 Q13643
Q13422-7 P28004
P43365 P28004
P43355 P28004
P19012 P28004
P28004 Q8IYF3-3
Q5T124-6 P28004
Q5JR59-3 P28004
P28004 Q8WWB3
P28004 Q8TAP6
P28004 Q8NHQ1
Q8N6Y0 P28004
Q9UDV6 P28004
Q9NSC5 P28004
P28004 Q96MT8-3
P28004 Q8WXE1-3
P28496 Q8N6L0
P14136 P28272
P28004 Q9Y6D9
Q9Y3Q8 P28004
Q9UKT9 P28004
EBI-11522976 P29703
Q96KN7-4 P29461
P29461 P51116
P28777 Q15025
A0A087X1U9 P29703
Q9BTE3-2 P30665
Q8NA61-2 P29703
P29703 Q15025
P32335 A0A0C4DGF1
P31412 Q96CN9
P31384 Q9UFF9
P37198 P31384
Q96IQ6 P31384
A0A0C4DGS5 P32354
P32342 Q9H190
A0A0C4DGS5 P32335
P32453 Q15041
P32449 P35520
Q8IZ13 P32381
P32354 P51116
Q96DZ9-2 P32453
P32453 Q969L2
P32453 Q8N6L0
Q6RW13-2 P32453
P32458 Q15019-3
P63279 P32458
P32458 P23497-2
P32458 B0QYN7
P32463 O43281-2
H0YCX2 P32463
Q9Y2J4 P32458
Q86WT6-2 P32464
P14373 P32464
O14879 P32464
P32464 A0A0C4DGS5
P32464 Q9BYV6-2
Q9BRK4 P32464
P32464 Q8NA61-2
P32464 Q8N3J3-3
EBI-11522976 P32502
P26641 P32497
Q86UW9 P32477
Q9P286 P32474
P32502 A0A0R4J2E4
P32502 A0A0C4DFM0
P32502 EBI-11525577
P32502 H3BTW2
P32502 G5E962
P32502 O15156-2
P32502 O14964
O14641 P32502
I6L8A6 P32502
P32502 O60232
P32502 O43809
O43597 P32502
O15217 P32502
O95273 P32502
O95197-3 P32502
O76083-2 P32502
P32502 O75506
P32502 P07910-2
P04271 P32502
P00492 P32502
O96006 P32502
P15531 P32502
P32502 P14373
P14174 P32502
P08727 P32502
P32502 P19012
P38432 P32502
P35520 P32502
P32502 P20591
P48775 P32502
P32502 P43365
P32502 P43356
P61289 P32502
P32502 P56279
P55212 P32502
P49247 P32502
Q00796 P32502
P98170 P32502
P63279 P32502
P32502 P61457
Q13155 P32502
Q13049 P32502
Q03393 P32502
Q53EZ4 P32502
Q14749 P32502
Q13554-3 P32502
Q13490 P32502
