1052 2
537 0.28320518 0.76263
339 0.6233274 1.0078964
46 -2.1714964 0.9025143
92 -1.2988816 0.58608884
24 0.13804416 0.76988804
9 1.1689374 1.4558618
5 0.62210613 1.0547299
377 0.7772637 1.1683286
244 0.65250874 1.0158062
742 0.16812268 0.7156964
301 0.9342838 1.2555363
37 0.39377975 0.85761213
504 1.1257708 1.393813
463 0.91185576 1.2397592
623 1.2137923 1.4997641
660 0.4173519 0.91676193
620 0.48359835 0.945542
13 -1.5599066 0.8588761
90 0.43397588 0.8898635
736 0.4211574 0.94252557
570 0.48714283 0.9095952
28 1.0102714 1.3349446
411 0.47013915 0.9782837
104 0.84339005 1.1577237
250 0.9922373 1.2814451
35 -1.4710062 0.70723444
163 0.8806953 1.2046863
54 -0.8255844 0.5914438
596 0.28531823 0.77888846
22 0.5195399 0.96017087
39 1.0135902 1.3026158
585 0.77788067 1.1548302
679 0.61698514 1.0190346
141 0.41951 0.8450573
255 0.20479965 0.75980645
95 0.58482486 1.0131845
152 1.3456767 1.5583153
100 0.8344928 1.1516647
132 0.6275297 0.9971697
136 1.515767 1.723349
251 0.8099566 1.1260387
513 0.576363 0.9741418
60 0.9541808 1.2579763
666 1.1678938 1.4582353
45 0.12842718 0.72486866
0 0.863739 1.2234102
79 -0.43528518 0.55192345
396 0.26380858 0.8160244
712 1.0332972 1.3438175
322 -0.57001084 0.5528823
263 0.7501153 1.1034735
274 0.53934926 0.99450123
484 0.91699827 1.2053006
295 0.7398063 1.0947638
7 2.4421496 2.6885781
150 1.4567003 1.7063297
392 0.94914377 1.2415223
29 0.07697194 0.6588654
577 0.5679102 1.027918
252 0.7618472 1.1034201
273 1.1984258 1.4888921
385 -0.010020809 0.618503
602 1.1748669 1.4497545
86 -0.15115492 0.6210099
21 0.36645016 0.8515442
496 1.1211164 1.4195598
260 0.50281984 0.9063842
57 1.4627087 1.7068633
296 1.1607989 1.4037375
334 0.77717495 1.1885027
89 0.8849085 1.1727976
751 0.23661165 0.7560405
194 1.5480149 1.8452412
399 0.77229697 1.0994562
12 -2.8943424 1.3901006
336 0.7850275 1.1479886
318 1.4233665 1.650872
256 0.6479887 1.0123773
77 -0.55537874 0.5724034
705 0.6025707 1.0342144
172 0.78067964 1.1381488
44 0.8898111 1.2382731
189 0.67891073 1.026725
81 0.3154235 0.87011576
614 -2.0215824 0.89417315
214 -0.9538209 0.64858633
249 0.67758733 0.99841803
460 0.6456834 1.0021818
511 -1.9725538 1.0013477
626 1.3596282 1.5939438
16 0.24877056 0.79909486
66 0.396289 0.8297073
102 0.42948452 0.8726873
389 0.3169282 0.78135085
450 -0.84083647 0.645241
127 0.12477628 0.6127214
15 1.2544112 1.4937983
186 0.91148543 1.2069491
325 0.5021932 0.8826731
264 0.69987696 1.0661694
10 1.8311826 2.0838087
259 0.7231044 1.1094192
667 0.6654571 1.0808241
737 -3.3799672 1.6356438
573 1.0834923 1.3498851
32 -0.03451306 0.67107683
530 -0.39397252 0.5754178
470 -0.0071369633 0.7396681
52 -1.4108895 0.93085665
429 -0.20520398 0.64613444
26 2.1018307 2.3332267
579 0.041541852 0.65596676
522 0.8763485 1.222968
526 0.93552107 1.2225623
360 0.6806104 1.0484326
717 0.8907864 1.2084465
74 0.39747074 0.86458147
306 0.9211124 1.2149141
169 0.6041634 1.0127361
694 0.90229017 1.1805305
118 0.35446832 0.9101874
33 1.4281262 1.7039733
533 0.46000484 0.82169753
50 0.7983113 1.1336253
383 0.7847472 1.117136
805 0.46710503 1.0194801
270 0.830941 1.1757509
91 1.9762857 2.2085671
646 0.2891021 0.6563885
494 0.08752623 0.8303866
340 -0.6603934 0.7162515
328 0.1773396 0.87821084
410 -0.27065864 0.60687953
115 -12.516045 8.345522
292 -12.689179 7.416775
229 -10.632024 9.463219
509 -0.28190354 0.4131945
331 -12.699566 7.5057416
108 -12.393571 7.5940194
124 -11.415009 10.499593
943 -10.423455 11.88096
695 -12.837133 7.56031
182 -12.305114 7.692808
582 -9.776724 11.188084
871 -14.009636 8.323891
30 -0.024044976 0.69270444
374 0.6951084 1.060745
657 1.0050234 1.3796252
786 -0.5699127 0.38183936
239 1.9792247 2.205885
76 -0.53324664 0.5852818
505 1.1373845 1.4106029
323 -0.779671 0.4975633
373 0.55982476 1.0318668
291 1.0201054 1.320251
261 1.1454163 1.4630834
253 0.3828322 0.84082335
131 0.19916958 0.83496994
518 0.54807365 0.9403819
684 1.2910978 1.5492299
196 0.91744864 1.2614638
729 1.0750595 1.3449003
184 1.0116421 1.3296299
362 0.35842404 0.80704784
619 0.08545741 0.75480676
670 0.45697826 0.93134934
8 0.8459853 1.1787425
302 1.1404182 1.4141519
766 -0.12666948 0.54470545
269 -1.9738938 0.87696135
480 -6.561385 14.3176155
481 -6.422508 14.068621
720 -0.88378894 0.7435891
166 0.28276342 0.8241263
761 -1.3804703 0.5938309
609 -0.3442927 0.63267887
507 0.8832619 1.4300458
59 1.81107 2.0531373
566 -0.57940376 0.47564006
370 -0.047981735 0.55208355
290 -2.3015733 1.0236987
234 -1.8676445 1.1993529
58 1.7611005 1.9863653
64 0.82926565 1.1361095
749 0.059738543 0.81592715
420 0.35069445 0.89418674
376 1.6264108 1.8569875
133 0.12080601 0.84182024
187 1.694484 1.9731652
308 1.4338275 1.6399384
220 3.220186 3.5582798
188 0.93618125 1.3078895
946 0.4730639 0.9312195
353 0.40275082 0.84231585
630 0.0076221847 0.7881942
120 0.33458546 0.9304408
945 0.4360652 0.9042386
865 4.3773136 4.841516
367 0.5542138 0.9743191
969 0.49547318 0.91135395
177 1.2333894 1.4900906
84 0.5689181 1.0191665
285 1.3718185 1.634053
468 0.6140326 0.9815328
457 0.14275396 0.8030188
85 -0.5282667 0.6442862
956 0.17104949 0.7280433
355 0.742411 1.078235
455 -0.0049855127 0.79530627
456 0.13490054 0.79580986
407 0.25219566 0.8588304
105 0.5942523 0.9526678
53 2.0148318 2.2579808
307 0.43196815 0.9331108
276 0.12515552 0.73538333
83 0.62321335 1.0281507
992 0.18285069 0.76787144
562 0.9341461 1.2887475
69 1.5960028 1.8064389
218 0.7875098 1.1547859
783 1.0380759 1.3278533
142 -1.8691064 0.901497
500 0.7950914 1.145046
241 1.8239921 2.0674396
223 -3.09048 1.5663002
448 -1.7788676 1.0883262
832 1.7879678 1.9893538
759 -1.6346436 0.775322
215 1.1177992 1.2824513
143 -0.96053433 0.5492617
174 -2.2625968 1.1608948
