3509 2
635 0.5022626 0.21541993
715 0.5808845 -0.0094672395
2804 0.3651236 0.79797184
1408 5.1249237 -2.6197011
813 0.3694466 0.68633795
3401 0.49832803 0.18814225
1156 0.38575426 0.53644174
537 0.45012093 1.5404946
291 0.42651132 0.49999955
1587 0.4594044 0.42514262
432 1.5454499 6.053414
1293 0.47166717 0.47013512
21 0.79278845 -0.1182992
293 0.42043334 0.89570713
753 0.45019612 0.9513113
177 0.47271085 0.9489534
662 0.5429713 0.39700273
1541 0.7248021 0.019500852
876 2.3067722 7.719173
1341 0.53013635 1.7681457
105 0.76719165 0.00023104163
499 0.6222923 0.1035665
274 0.89643323 -0.24936803
43 1.0019386 -0.24365523
149 0.8826978 -0.14345314
175 9.887644 10.9136505
220 0.4575666 0.7368919
34 0.53372097 0.3199601
624 0.5273409 0.32598442
1340 0.5006026 1.637537
257 0.87257403 -0.120866746
333 0.35969225 1.0668304
2374 8.381579 -3.8454804
1176 0.5026409 0.6765351
394 0.45433164 0.50629145
2741 0.49331313 0.40302172
750 0.6423146 0.09560243
55 0.8660562 -0.1537597
5 0.49640813 0.60084796
383 0.74687105 0.015914194
132 0.4868472 0.4368507
209 2.5468204 -1.1754712
1193 0.5322306 0.46447137
179 0.49412188 1.1496892
562 1.1350069 -0.36790773
1820 1.42382 -0.5844712
75 0.7214749 -0.00214231
1342 0.52045846 1.7320199
382 0.8665963 -0.092194594
1453 0.43880662 0.83033776
193 0.49822068 1.1500955
166 0.8761194 -0.26167262
254 0.41827464 1.0108871
1234 0.82155186 -0.097849846
451 0.4519798 0.86533266
708 0.55749786 0.4197725
445 0.40080938 0.68921715
370 0.41669405 1.0226028
100 0.5815693 0.15779576
1747 0.7613134 -0.00028585282
88 1.4650742 -0.74921495
13 0.8046492 -0.2175075
525 0.4255917 0.5702612
810 0.46542117 0.95654505
343 1.4990165 5.5103493
1732 1.1886457 -0.39632457
1210 0.44174197 0.56857073
638 0.42916903 1.1454068
621 0.43445474 0.7995929
549 0.39440432 0.9385227
214 0.67463875 0.046380606
146 0.5601438 0.3088675
28 0.7420439 -0.055352982
781 0.42983305 0.62643033
1727 1.2797946 -0.4455843
103 0.42367297 0.6567637
198 1.1831709 -0.39628127
1545 0.6151143 0.089285344
2661 4.77905 12.320288
555 1.1229067 4.4792175
675 0.6901662 0.11109747
60 1.052211 -0.29946777
3321 0.5318157 0.35623646
1170 1.0458242 -0.3878617
3324 0.5575936 0.32973272
1863 0.7098684 0.00091908756
2770 2.2907171 7.8165927
1236 0.8407057 -0.0821234
611 0.40002018 0.2533561
588 0.7064108 2.75128
153 0.6062938 0.0375852
215 0.62409484 0.26418406
482 0.51100695 1.1516534
210 0.9122636 -0.2757394
137 0.92064595 -0.19134584
580 0.56373316 1.9603348
497 0.49545294 0.31288716
618 1.0652714 -0.37831533
435 0.7209761 -0.009532823
659 0.56334454 0.3632142
1749 0.7290715 0.052191112
500 0.44323197 1.2166107
1035 0.9380806 -0.20317326
1372 0.53974366 0.5806819
158 1.2667363 -0.4510069
3020 0.38373244 0.6461498
350 1.0055661 3.7056184
147 0.7167558 0.11056059
516 0.94388616 -0.23327373
77 14.273878 5.239294
1517 14.498552 5.78925
1733 1.3694903 -0.51647115
616 0.8597739 -0.21971554
678 0.41677314 0.66218215
492 0.45771486 1.3124231
3378 0.62080944 0.16603951
196 13.628665 -5.7085075
1746 0.66954917 0.082887806
2253 0.74025625 0.019681886
9 0.47187704 0.429522
524 0.53931385 0.22137071
1421 0.5252266 0.44343105
1553 0.5951151 0.10203588
170 2.5761492 9.127648
1739 0.9789867 -0.27672923
1540 0.8688271 -0.09848548
1735 1.2365956 -0.42503202
190 0.47460297 0.9936528
340 0.38637257 0.3974378
1302 0.44265208 0.8132911
1344 0.37744254 0.7497922
1104 0.8869145 -0.2161097
1070 0.45524117 0.48132423
1164 1.4883317 -0.6531581
41 0.59647477 0.08558402
390 0.77824616 2.9792743
899 0.48586196 0.31811035
31 0.46366423 0.35224584
7 1.5272056 -0.6272346
36 0.6572691 0.068217434
669 0.45035136 1.187523
338 0.6366513 2.245957
2256 0.57334596 0.18115725
1419 0.48199233 0.35004723
631 1.0310867 4.120959
405 1.8344195 -0.8199638
622 0.4790422 0.76384985
1115 1.0673673 -0.33587492
1204 0.7575431 0.002240138
404 2.0302823 -0.90791386
1426 0.7886316 -0.13641323
1129 15.215972 -5.4991994
1736 1.49155 -0.5757991
1196 0.46368045 1.0601109
311 0.9571373 -0.1973405
1431 1.2285049 -0.49627054
367 1.059643 -0.31451502
698 5.292248 -2.5318618
511 0.98449546 -0.27596655
577 0.9551407 -0.28521618
411 0.94047993 -0.165443
785 0.6193477 0.18497658
601 0.31770566 1.1318417
1581 0.8421337 -0.11836124
1443 0.59966606 0.26744643
743 1.0311619 -0.2608157
1112 14.666737 1.7523184
506 0.44815955 0.9561582
242 0.79309106 2.430805
180 0.46111566 1.1016216
619 9.107691 -4.3556585
2397 0.86516875 -0.17202988
1179 0.52328587 0.540814
2600 1.384157 5.369133
101 0.481269 0.3771818
687 0.7051831 -0.059006926
437 1.1532308 -0.35338
1488 4.1678786 -1.9424126
592 0.80449617 -0.1405241
45 0.65631425 0.05658119
617 1.2089993 -0.42923316
290 0.444173 0.6598076
711 0.50161064 0.5983411
466 0.52687734 1.7861865
1554 0.6760551 -0.02656331
1371 0.43867263 0.64865226
143 0.77053773 -0.047925897
747 0.43909 1.0031451
295 0.5160732 0.8082171
104 0.4859308 0.38960454
1361 0.8446889 -0.12223497
641 0.46849194 0.41138607
288 0.96608067 -0.256448
207 1.5534563 -0.6353255
56 1.2195902 -0.44512913
620 0.45440206 0.6563062
