100 2
1 -0.051930223 1.3153912
4 -0.001875663 1.2158089
2 0.23565187 1.22106
0 0.27578053 1.2463696
3 -0.07685125 1.2764611
93 0.27954057 1.201327
70 -0.003564786 1.1545811
5 0.047237094 1.0934244
58 0.15178525 1.1043391
49 -0.086094804 1.0960219
89 0.004625333 1.1405896
33 0.22321026 1.1148169
79 0.007659427 1.1129006
95 0.08349768 1.1811695
14 0.1443266 1.0986714
16 0.24505538 1.1322668
12 -0.1763503 1.1907442
31 0.2692859 1.166336
48 0.11958137 1.1540033
9 0.07861901 1.2166088
27 0.28425273 1.1114135
62 0.033610653 1.2094865
42 0.17737262 1.2010957
6 -0.08862559 1.2023076
74 -0.1169111 1.2687986
10 0.28487238 1.1671326
69 0.06426823 1.0267
84 0.24545708 1.1477216
11 0.2582243 1.2224538
75 -0.09802537 1.1656865
39 -0.16237761 1.2376186
82 0.012267858 1.1236672
28 0.05056948 1.1955369
21 0.18154503 1.192084
50 0.17146054 1.1853896
57 -0.11645468 1.197128
44 0.07738407 1.1818045
59 0.31200787 1.1677514
40 -0.14613391 1.1933119
83 0.2629 1.190869
17 0.009264358 1.204936
96 -0.19693603 1.2775767
72 0.0032941683 1.201208
35 0.18773681 1.1325326
34 0.26626527 1.1284884
51 0.07231385 1.1743075
53 0.023759779 1.1677235
85 -0.08485139 1.2773682
26 0.08288129 1.1273816
52 0.08576966 1.1403784
67 -0.050511695 1.1767195
66 0.12074521 1.1278927
88 -0.084592685 1.1617992
91 0.16813546 1.1724426
97 0.33024225 1.1544051
78 0.08315813 1.1924348
46 0.20292416 1.2237849
15 -0.2063249 1.1578764
24 0.1299967 1.1790562
99 0.35260403 1.2044005
41 0.11173793 1.1386762
19 -0.11061463 1.2065609
87 0.28779632 1.2565738
76 0.05353799 1.2074418
68 -0.20458013 1.1253829
23 0.17028238 1.1884766
38 0.2264471 1.1223022
36 0.06321076 1.1000785
90 -0.16183999 1.150092
45 0.09966039 1.1834276
47 0.0016064213 1.1930568
80 0.15259558 1.1815751
37 -0.033682942 1.1986141
56 0.012378653 1.2598364
94 0.15047957 1.2092303
7 -0.19433494 1.1583195
63 0.2547335 1.228804
55 -0.16331673 1.1603533
92 -0.1424368 1.2021155
86 0.11514708 1.0410254
77 0.15805979 1.3195231
73 -0.06519374 1.1223812
98 0.14309847 1.0929294
65 0.11696818 1.1165849
8 0.04268591 1.1610483
20 0.13267635 1.1887023
64 0.18108076 1.1523237
32 0.019428631 1.1866344
25 0.22734101 1.2266402
22 0.22635336 1.2650095
13 -0.13612983 1.204602
81 0.13474274 1.1409173
18 0.12338234 1.1961416
43 0.086364985 1.228215
54 -0.14266421 1.1280612
71 0.037145726 1.1628444
29 -0.034189854 1.2543278
61 -0.037747633 1.1458595
60 0.29083288 1.2021426
30 0.1603399 1.1735038
