30 2
18 -0.4742716 -0.108808
21 0.00501789 -0.20609082
14 -0.36260724 0.08176406
12 -0.2612816 0.10197137
10 -0.051112656 0.13019808
22 0.035205144 -0.103545204
16 -0.052185852 -0.08466424
28 -0.21466272 0.102896206
1 -0.021927614 -0.29567245
3 -0.33120364 -0.27222487
8 -0.22178732 0.1608343
11 0.04448304 0.14246728
25 -0.36444616 -0.23859105
23 -0.36423257 -0.07614332
9 -0.27765515 -0.07215698
2 0.06426332 0.14224748
15 -0.34269187 -0.29380703
5 -0.2268065 0.013363626
20 0.0145771345 0.10013837
24 -0.16675544 -0.17829849
0 -0.3024293 -0.051358312
26 -0.19416834 -0.2676366
17 -0.23630637 0.04882764
27 -0.31878415 -0.12647627
13 -0.33382645 -0.27794805
19 -0.16718258 -0.075117186
29 -0.32530734 -0.11898585
7 0.18950099 0.16573235
6 -0.13950267 -0.2097319
4 -0.08718081 0.040204618
