1000 2
911 0.9430118 -0.9047779
364 0.6044351 -1.1064777
467 0.85420144 -0.9902825
423 0.7416114 -1.0651032
686 0.7984952 -1.0310981
868 0.7484603 -1.0551311
906 0.8648144 -0.9300194
880 0.63248533 -1.1576627
344 0.66149 -1.1362916
692 1.0065844 -0.915772
500 0.66214293 -1.1208155
305 0.51221716 -1.2068977
452 0.6366178 -1.1136693
223 0.66109514 -1.0731089
257 0.6544805 -1.0997912
974 0.20603298 -1.3717395
431 0.4501532 -1.2557935
208 0.34533343 -1.308493
199 0.536727 -1.1837598
642 0.4559839 -1.2044203
345 0.82008123 -0.97567976
966 0.840808 -1.017735
52 0.554319 -1.1799717
816 0.8920557 -0.9513075
967 0.5792938 -1.0995477
421 0.738436 -1.055076
332 0.6200412 -1.1346824
529 0.6801525 -1.1054792
627 0.3887275 -1.2314798
506 0.315418 -1.3316665
622 0.889282 -0.93144524
884 0.71509874 -1.0435166
838 0.6478921 -1.1035128
272 1.1441705 -0.82816684
532 0.712523 -1.0683115
414 0.55453306 -1.1754191
370 0.5510354 -1.1273085
397 0.79161954 -1.025431
693 0.45455837 -1.1915528
690 0.6261617 -1.1341293
497 0.81597346 -0.9932904
13 0.9817505 -0.8709932
491 0.54739124 -1.1763157
789 0.90714717 -0.9335026
588 0.730181 -1.0921919
240 0.7577963 -1.0348148
95 0.6188973 -1.1677285
110 0.73553276 -1.0057507
916 0.46715742 -1.2016336
541 0.46499005 -1.2354199
890 0.67008334 -1.1127461
618 0.5253903 -1.1233493
181 0.64762896 -1.1145804
201 0.5002601 -1.1862677
133 0.78487515 -1.0306959
389 0.858307 -0.9796134
12 0.4744885 -1.1643324
902 0.7751854 -0.9923011
761 0.5562221 -1.1528797
860 0.5330438 -1.131317
910 0.648759 -1.1064069
784 0.64912224 -1.1219954
968 0.68167746 -1.0385978
132 0.59541523 -1.0830073
380 0.7409506 -1.0486621
108 0.36511818 -1.2695659
676 0.27363086 -1.3598809
887 0.63440394 -1.1076945
130 0.7967635 -0.9857965
369 0.49784592 -1.1848605
114 0.50584614 -1.2104464
136 0.7105007 -1.0546967
204 0.67699057 -1.0746783
988 0.72673213 -1.0688173
404 0.51411146 -1.1864005
671 0.56742394 -1.1713227
632 0.7825634 -1.0161699
116 0.92591333 -0.9343612
138 0.79119676 -1.0083499
946 0.5050944 -1.1566681
122 0.9762186 -0.94088924
601 0.48532626 -1.2064205
356 0.53741866 -1.1597303
780 0.907063 -0.98838323
270 0.9054835 -0.96220404
205 0.6827637 -1.1001984
729 0.5281129 -1.1484435
587 0.5479756 -1.1184494
882 0.50594544 -1.1972554
381 0.6200661 -1.0881821
14 0.9106942 -0.9068575
455 0.61075974 -1.1193626
281 0.58151263 -1.1527146
922 0.84061646 -0.9811008
567 0.60328615 -1.1233482
545 0.8973877 -0.9604351
801 0.4555366 -1.1541399
374 0.59978014 -1.1492877
680 0.8007881 -0.9952848
786 0.5321823 -1.169222
145 0.3457873 -1.298928
460 0.76333934 -1.0287739
829 0.7664398 -1.0023044
326 0.6690695 -1.0698922
805 0.6695819 -1.1255699
7 0.63765603 -1.1354424
785 0.6030158 -1.1244261
947 0.54817724 -1.2088147
353 0.7243766 -1.0612723
325 0.7108283 -1.0686504
448 0.6261148 -1.1036394
123 0.42465875 -1.2063047
894 0.77718914 -0.9952365
156 0.46035674 -1.1732748
521 0.3219862 -1.3176146
873 0.7486446 -1.0511831
411 0.7254438 -1.0952742
898 0.6287081 -1.1083574
547 0.49968508 -1.1516757
764 0.8234992 -0.9892023
166 0.84146476 -0.9846114
424 0.7966574 -0.9725695
903 0.49934492 -1.2059636
613 0.5733382 -1.1053116
837 0.78094935 -1.0094931
673 0.8696069 -0.9884315
347 0.82173246 -0.9913367
255 0.93163276 -0.9291769
990 0.70517474 -1.0591791
60 0.5113843 -1.1617647
182 0.63603127 -1.0553827
615 0.60041463 -1.1345267
242 0.6186442 -1.1448128
306 0.81989306 -0.98167616
198 0.57476985 -1.1612988
175 0.46129802 -1.1934178
675 0.8866878 -0.944571
310 0.7708445 -0.9952555
807 0.6796468 -1.0557766
715 0.8152607 -1.0031946
276 0.90036124 -0.9417148
853 0.78021145 -1.0242171
589 0.53582305 -1.1140149
796 0.4199716 -1.2031062
773 0.69662637 -1.0213747
783 0.5508717 -1.2026414
139 0.5191775 -1.1451871
597 0.45540863 -1.196995
157 0.26539242 -1.3591071
361 0.6546143 -1.1581149
55 0.40131488 -1.2364117
945 0.43827915 -1.193683
285 0.61883706 -1.0794383
74 0.76714426 -1.0117513
530 0.87575185 -0.99030995
781 0.8792422 -1.0096506
184 0.5448926 -1.1579753
517 0.45034268 -1.213215
191 0.36125997 -1.2348862
858 0.68025464 -1.1014447
23 0.4447443 -1.1796335
852 0.7036446 -1.0382334
546 0.6276729 -1.152265
855 0.37806323 -1.2556237
284 0.7248979 -1.0464643
445 0.6167117 -1.1607264
934 0.53118175 -1.1041063
772 0.679843 -1.0528988
646 0.50244075 -1.135794
342 0.6187247 -1.0921385
722 0.7992082 -0.97122234
972 0.40387386 -1.2209895
953 0.81743944 -0.9809705
406 0.8582336 -0.9267834
856 0.48830602 -1.1558257
297 0.20995428 -1.3127668
814 0.45300123 -1.2371478
556 0.7376948 -1.0753742
695 0.6027569 -1.1108334
592 0.81091934 -0.96128494
275 0.8751224 -0.964083
61 0.6913843 -1.0796341
385 0.49905807 -1.1226982
165 0.6238845 -1.070988
43 0.46998125 -1.1732031
543 0.6372037 -1.0966609
832 0.5301455 -1.1327279
897 0.67617065 -1.0023065
501 0.6645664 -1.065948
26 0.7858981 -0.9883768
392 0.71594083 -1.0327504
662 0.6093917 -1.1496276
708 0.6366478 -1.1381165
518 0.74350494 -0.99549615
39 0.6334551 -1.1392767
846 0.80454725 -1.0211968
245 0.46889555 -1.1603565
481 0.6449543 -1.1030564
739 0.5045158 -1.132386
803 0.77150947 -1.0407641
472 0.5687877 -1.1243277
648 0.5700711 -1.1640549
519 0.8176305 -1.0049767
