100 2
4 0.9157917 1.29037
3 0.94740695 1.1293162
1 0.9704095 1.0968403
0 0.9891571 1.0365772
2 0.9682864 1.1343261
6 1.1706446 0.09169764
58 1.1605681 0.16954555
37 1.0643263 0.27005264
69 1.1021422 0.26224497
89 1.1623507 0.09919749
82 1.1859 0.10274174
49 1.124426 0.2579902
19 1.1140623 0.31550944
65 1.0757811 0.23759195
42 1.1367886 0.20839234
79 1.1483885 0.09811395
43 1.1082215 0.33414203
12 1.1675031 0.18336387
14 1.0783838 0.41144437
41 1.0948697 0.34183347
39 1.1889088 0.04831804
85 1.1744062 0.095062286
23 1.196188 -0.006719764
70 1.1678201 0.14010964
30 1.165484 0.15354875
86 1.1578267 0.0030547408
94 1.1561706 0.15841448
10 1.1239369 0.16415307
99 1.122022 0.18528263
81 1.2099111 -0.09141819
40 1.1649898 0.071287066
52 1.2661121 -0.11267528
76 1.1141865 0.2064371
24 1.1866541 0.09875858
46 1.1978825 -0.05706973
75 1.1053747 0.23647818
51 1.1900345 -0.00012446879
56 1.1541829 0.093429096
83 1.2015371 0.09923996
16 1.0804168 0.3418679
93 1.2227892 0.06808195
71 1.1960789 0.107110545
11 1.1258057 0.1814905
95 1.0809062 0.24946478
61 1.1214474 0.3190382
27 1.174802 -0.010716064
36 1.1239123 0.13943055
35 1.133154 0.27112818
20 1.1584983 0.16971934
55 1.1300311 0.26811737
13 1.1964328 0.08951089
34 1.1900022 0.14718743
28 1.1406914 0.16741164
68 1.1791893 0.0486501
57 1.1266658 0.17272572
53 1.1642686 0.1324965
87 1.1773334 0.14063433
84 1.1469148 0.12737563
73 1.1506919 0.1739652
91 1.1709642 0.17783365
77 1.0614148 0.3622716
26 1.2070248 -0.031271465
96 1.1351252 0.25369406
38 1.1857733 0.039952468
21 1.0630981 0.4249634
98 1.0752052 0.38739243
80 1.1559556 0.11944476
60 1.1111778 0.3181711
62 1.1296668 0.2607451
59 1.2131642 -0.10944382
9 1.1964726 -0.016356075
15 1.1180596 0.29791427
45 1.1812893 0.04665117
63 1.1588665 0.12296106
90 1.1979513 0.060887598
8 1.1223344 0.43601787
25 1.0807456 0.41407672
22 1.124957 0.33412126
5 1.1037343 0.27633864
48 1.0965121 0.36136034
32 1.1073865 0.14283071
92 1.1670527 0.16529727
66 1.2129532 0.08849736
72 1.1879627 0.054529946
74 1.1425713 0.17780462
17 1.1600248 0.17136507
29 1.1692888 0.29836723
50 1.0744103 0.37288025
88 1.1647961 0.009955359
18 1.1887237 0.09418067
67 1.191173 0.25605157
33 1.1419053 0.0771559
47 1.1666954 0.14994481
7 1.1130044 0.2682672
44 1.1707845 0.16620402
31 1.174956 0.09257609
54 1.1866213 -0.044699606
97 1.221144 -0.023033503
64 1.1033862 0.34854332
78 1.1235715 0.25285822
