1000 2
225 0.4373825 0.22243963
419 0.5530617 0.10881659
658 0.17578693 0.48656243
13 0.11451247 0.5470214
143 0.32568094 0.33481145
775 0.34193403 0.3169687
136 0.20070307 0.45748284
875 0.2106192 0.4515415
651 0.4527721 0.20535664
491 0.4192575 0.24036565
724 0.35402474 0.30352882
621 0.5191495 0.14124003
675 0.07759236 0.58549094
406 0.46536946 0.19351836
831 0.2154001 0.44619676
732 0.42441356 0.23496644
370 0.3328848 0.3253248
258 0.3860148 0.27079153
692 0.5452859 0.11914254
588 0.12949765 0.53427273
599 0.29229242 0.37000024
866 0.2799122 0.37901032
605 0.39323264 0.26797044
138 0.14244077 0.5217398
678 0.21105315 0.45156687
203 0.35798135 0.30415317
917 0.36806986 0.29234815
812 0.27739325 0.38367772
270 0.44654512 0.20855296
116 0.49746874 0.15950707
472 0.34400064 0.31461635
944 0.3703012 0.29087314
662 0.13148431 0.53023946
900 0.4159863 0.2449773
431 0.27473956 0.38555896
997 0.0983069 0.56370896
437 0.23308498 0.42893815
996 0.100306764 0.5625084
115 0.3543736 0.30692533
583 0.627533 0.03512545
102 0.37872377 0.28208908
515 0.3158536 0.34443808
470 0.41005686 0.2500223
340 0.47561702 0.18265381
423 0.48330057 0.17812236
946 0.37440395 0.2845102
562 0.45685416 0.20142823
817 0.044495266 0.62075406
242 0.23524483 0.42645696
497 0.36536065 0.29921338
100 0.46865666 0.19164796
167 0.14997281 0.51358837
448 0.44029784 0.21918775
28 0.3965684 0.26267934
182 0.44745103 0.20954058
266 0.35147768 0.30818436
500 0.45519626 0.20584507
899 0.18098195 0.481471
735 0.39984158 0.2602969
785 0.37121606 0.28776857
293 0.29989785 0.35652965
81 0.5608254 0.10076414
297 0.35042617 0.3105116
786 0.37216625 0.28766394
958 0.29035652 0.3703475
953 0.4208389 0.24023186
561 0.21332051 0.44900063
521 0.45498222 0.20482661
543 0.22198558 0.43677458
941 0.49749637 0.16318902
326 0.15308668 0.51105917
757 0.34371918 0.31212905
105 0.3157727 0.34376326
324 0.013069034 0.6517983
15 0.32938442 0.33134243
134 0.41158485 0.24899285
567 0.096260995 0.5687184
903 0.17132191 0.49181485
699 0.35332152 0.3071085
275 -0.024802601 0.6931737
573 0.051787253 0.6156922
311 0.5244065 0.1329922
978 0.16230324 0.5003182
516 0.30405316 0.35582873
463 0.20445935 0.45597965
230 0.19093694 0.47054806
771 0.28866485 0.37060925
680 0.38631517 0.27138838
38 0.39211738 0.26639032
173 0.2447132 0.4149773
73 0.48586574 0.17297898
821 0.40693527 0.2521771
427 0.47230572 0.18899126
748 0.4554573 0.20271982
282 0.44853774 0.21268563
746 0.35155672 0.3093446
