1000 2
225 -0.12429976 -0.47500947
419 -0.017236058 -0.46916154
13 -0.02458511 -0.46859977
472 0.005233543 -0.46700624
658 -0.07225361 -0.47265145
270 0.116203666 -0.46003285
370 0.53306663 -0.4347477
100 -0.22721116 -0.48231664
437 -0.22092903 -0.4832369
143 0.11005341 -0.46143457
817 0.042112626 -0.46543446
812 0.4601384 -0.4415117
115 -0.16024922 -0.47880596
182 0.0099886125 -0.46828458
272 0.26700753 -0.45136857
866 0.33197257 -0.44715053
675 0.3974097 -0.4432141
491 -0.19708632 -0.47964144
406 0.20192991 -0.4550094
775 0.06424183 -0.46419698
724 0.05626323 -0.46318826
136 0.20597787 -0.45474657
621 -0.004156502 -0.46535483
599 -0.03362415 -0.46992573
583 -0.1592399 -0.47783118
917 -0.23861238 -0.48570657
669 0.34810776 -0.44738716
692 -0.15164632 -0.47943598
470 -0.1398034 -0.47722885
297 0.28640848 -0.45151073
944 -0.14717881 -0.47799912
167 -0.053755164 -0.4699854
903 -0.26454237 -0.48503348
521 0.38363218 -0.44667888
294 0.02082025 -0.46633756
258 0.023013111 -0.4650344
452 0.14913912 -0.4591682
678 0.010817869 -0.4669865
567 0.13775557 -0.4599915
102 0.16443563 -0.45748517
515 0.20727748 -0.45427877
10 -0.019367563 -0.46906582
946 -0.027745912 -0.46919087
134 -0.25836208 -0.48700264
573 0.29887283 -0.45083383
588 -0.16355939 -0.47807896
230 0.2677224 -0.45198703
148 0.2228604 -0.45471975
324 -0.07314356 -0.47321844
28 0.08190876 -0.46254992
340 -0.088590465 -0.47274736
855 0.21257342 -0.45546603
698 0.2955331 -0.45037028
395 0.031635813 -0.466364
875 0.06469347 -0.46246982
311 0.02992446 -0.4650802
266 0.02703326 -0.4672712
732 0.09227501 -0.45976704
203 0.066629104 -0.46218735
978 0.19513361 -0.45551395
672 -0.20186037 -0.4820409
326 0.17334434 -0.45706636
642 0.27566552 -0.4516082
651 -0.22191146 -0.48024133
699 -0.037955225 -0.471497
427 0.29133984 -0.4513544
771 0.052454263 -0.46538165
997 0.14915891 -0.45647866
477 0.05100471 -0.4656466
543 -0.017587813 -0.46584803
831 -0.053346336 -0.47063622
899 0.3624645 -0.44645366
448 -0.11433858 -0.4746819
786 0.09286486 -0.46270195
423 0.31586367 -0.4498644
35 0.2002274 -0.4550613
290 -0.15154125 -0.4769291
765 0.06991399 -0.46239823
282 0.014491785 -0.4676
15 0.015087736 -0.46714827
38 0.24058558 -0.45079875
746 -0.18184154 -0.4809322
116 -0.24665375 -0.4841459
313 -0.34489995 -0.4933378
482 0.040378276 -0.46562043
133 -0.17278776 -0.4789913
293 -0.042403247 -0.4700064
243 0.10922831 -0.46083504
431 0.13062939 -0.45898244
389 0.12399558 -0.4605195
305 -0.46903723 -0.50028586
900 -0.24563125 -0.48478532
780 0.049411368 -0.4632944
105 0.010969508 -0.4665375
44 0.064528234 -0.4637331
173 0.16113971 -0.45834315
314 0.06544806 -0.46356243
996 0.2887976 -0.45055157
637 -0.38334483 -0.49446994
373 -0.06158112 -0.4708995
463 -0.048521906 -0.47255942
757 0.02238893 -0.46388173
680 -0.17166767 -0.48060605
497 -0.11402323 -0.47563872
730 -0.09978786 -0.4728382
401 0.28818962 -0.44930133
