1000 2
225 0.43046093 0.2258684
491 0.4610548 0.07194801
724 0.46579522 0.041323815
875 0.48231053 -0.034522623
675 0.40039563 0.3891806
658 0.49197772 -0.09722056
406 0.4396873 0.18401936
419 0.4933255 -0.07322781
13 0.42251715 0.27276188
100 0.4610156 0.08386699
437 0.45722342 0.093523495
944 0.4879579 -0.053803343
134 0.53918946 -0.30535752
761 0.49704757 -0.10893505
472 0.44126335 0.16458738
138 0.41000873 0.3386896
272 0.44981393 0.12595145
370 0.44595098 0.13486154
143 0.44480908 0.1579136
270 0.5104552 -0.16710618
917 0.4553247 0.105299935
10 0.43385655 0.21429166
711 0.42681476 0.25147074
203 0.49876493 -0.119240284
812 0.40247577 0.3826354
599 0.37528744 0.5308334
230 0.39003998 0.4355907
340 0.49071217 -0.075454205
567 0.3536583 0.63996494
182 0.45826 0.08759869
258 0.5043558 -0.13594833
780 0.5025495 -0.1419265
692 0.4611038 0.07849779
651 0.47821304 -0.01984249
204 0.38113523 0.48756248
621 0.501065 -0.12308236
699 0.4105484 0.33377263
515 0.42996368 0.23166695
148 0.42664716 0.26000348
698 0.39826852 0.40022516
953 0.471416 0.01891929
115 0.48746452 -0.057517074
463 0.44829777 0.14101642
136 0.45429283 0.09459352
15 0.40557936 0.3534238
911 0.42482516 0.26152912
746 0.48616663 -0.053651065
470 0.48173517 -0.0368332
775 0.489218 -0.060333174
888 0.46385968 0.06465699
583 0.53265405 -0.27174062
678 0.41806167 0.29334575
662 0.48479035 -0.05419846
732 0.45330897 0.109924994
748 0.516693 -0.19438092
588 0.44677457 0.14421622
266 0.53625506 -0.3021803
448 0.46292055 0.060691014
605 0.47087497 0.022596532
757 0.47160187 0.029607208
900 0.39314482 0.41755408
133 0.40477484 0.35157293
735 0.4614342 0.075153455
573 0.39641646 0.41175663
105 0.46598777 0.050082758
331 0.47505257 0.0030113205
765 0.44750234 0.1334118
427 0.45191732 0.12511379
268 0.40372062 0.3722882
300 0.40284187 0.36860153
369 0.43997285 0.1781241
521 0.47108278 0.014531492
866 0.39574087 0.40279835
831 0.42960295 0.23859619
978 0.41600192 0.30698782
242 0.4659942 0.060943972
305 0.44398558 0.16116571
113 0.47677982 -0.012614656
674 0.47644928 -0.0037550963
173 0.45928597 0.07568598
687 0.44995195 0.12352871
562 0.4724247 0.023680447
278 0.4995026 -0.11408261
842 0.4140335 0.31432596
416 0.5569422 -0.39998543
35 0.3834762 0.47306567
664 0.37347153 0.5252195
903 0.43665513 0.2039337
744 0.48047248 -0.029142816
116 0.47732854 -0.015697502
14 0.43409833 0.207864
450 0.41448483 0.31003135
445 0.44183937 0.17806385
195 0.38535532 0.4671566
282 0.46683773 0.04977127
640 0.48031378 -0.013207275
968 0.46340227 0.0556187
423 0.522233 -0.23435313
518 0.46640846 0.049767863
251 0.5332716 -0.28167367
271 0.54233915 -0.32164574
75 0.5065236 -0.14995827
482 0.4596935 0.08338932
817 0.43748784 0.1924936
958 0.4295943 0.24355203
952 0.44426155 0.16747469
895 0.45301604 0.10994242
941 0.4449327 0.147141
409 0.40768537 0.349664
