nodei nodej distance
0 1 0.031
0 2 0.725
0 3 1.240
0 4 0.221
0 5 6.075
0 6 5.232
0 7 4.706
0 8 5.017
0 9 5.066
0 10 4.075
0 11 5.505
0 12 5.552
0 13 4.391
0 14 5.746
0 15 5.985
0 16 5.034
0 17 6.131
0 18 4.923
0 19 4.153
0 20 5.884
0 21 4.314
0 22 4.699
0 23 4.608
0 24 4.621
0 25 4.235
0 26 4.911
0 27 4.532
0 28 5.306
0 29 4.307
0 30 5.038
0 31 5.574
0 32 4.750
0 33 4.534
0 34 5.054
0 35 4.161
0 36 5.077
0 37 5.572
0 38 3.775
0 39 5.637
0 40 5.885
0 41 5.503
0 42 5.135
0 43 5.829
0 44 5.100
0 45 5.846
0 46 4.484
0 47 5.246
0 48 5.252
0 49 5.976
0 50 4.490
0 51 5.381
0 52 6.119
0 53 4.481
0 54 5.654
0 55 6.128
0 56 5.080
0 57 6.054
0 58 5.004
0 59 5.186
0 60 5.280
0 61 4.422
0 62 5.746
0 63 5.174
0 64 5.420
0 65 5.862
0 66 4.432
0 67 4.798
0 68 5.592
0 69 4.186
0 70 4.286
0 71 4.748
0 72 4.795
0 73 5.033
0 74 5.458
0 75 5.250
0 76 5.372
0 77 4.344
0 78 4.740
0 79 6.047
0 80 4.670
0 81 4.995
0 82 5.703
0 83 5.377
0 84 5.260
0 85 5.125
0 86 4.366
0 87 5.291
0 88 4.390
0 89 5.136
0 90 4.381
0 91 4.318
0 92 5.435
0 93 4.754
0 94 5.516
0 95 6.135
0 96 3.721
0 97 5.186
0 98 5.897
0 99 5.815
1 2 0.708
1 3 1.228
1 4 0.238
1 5 6.078
1 6 5.231
1 7 4.707
1 8 5.015
1 9 5.068
1 10 4.070
1 11 5.505
1 12 5.555
1 13 4.392
1 14 5.748
1 15 5.984
1 16 5.033
1 17 6.131
1 18 4.923
1 19 4.150
1 20 5.889
1 21 4.311
1 22 4.687
1 23 4.602
1 24 4.616
1 25 4.235
1 26 4.908
1 27 4.530
1 28 5.309
1 29 4.305
1 30 5.037
1 31 5.574
1 32 4.748
1 33 4.528
1 34 5.053
1 35 4.159
1 36 5.075
1 37 5.570
1 38 3.775
1 39 5.634
1 40 5.885
1 41 5.504
1 42 5.132
1 43 5.828
1 44 5.100
1 45 5.843
1 46 4.480
1 47 5.242
1 48 5.247
1 49 5.972
1 50 4.489
1 51 5.383
1 52 6.122
1 53 4.482
1 54 5.655
1 55 6.132
1 56 5.077
1 57 6.055
1 58 5.003
1 59 5.186
1 60 5.282
1 61 4.424
1 62 5.742
1 63 5.174
1 64 5.422
1 65 5.861
1 66 4.428
1 67 4.797
1 68 5.594
1 69 4.181
1 70 4.282
1 71 4.744
1 72 4.792
1 73 5.031
1 74 5.458
1 75 5.253
1 76 5.366
1 77 4.343
1 78 4.735
1 79 6.048
1 80 4.667
1 81 4.993
1 82 5.704
1 83 5.380
1 84 5.258
1 85 5.123
1 86 4.363
1 87 5.292
1 88 4.388
1 89 5.131
1 90 4.382
1 91 4.314
1 92 5.437
1 93 4.754
1 94 5.513
1 95 6.137
1 96 3.713
1 97 5.183
1 98 5.897
1 99 5.815
2 3 0.555
2 4 0.659
2 5 6.716
2 6 5.826
2 7 5.319
2 8 5.586
2 9 5.693
2 10 4.615
2 11 6.108
2 12 6.190
2 13 5.005
2 14 6.370
2 15 6.579
2 16 5.623
2 17 6.736
2 18 5.535
2 19 4.725
2 20 6.543
2 21 4.876
2 22 5.117
2 23 5.129
2 24 5.165
2 25 4.844
2 26 5.479
2 27 5.103
2 28 5.943
2 29 4.900
2 30 5.627
2 31 6.177
2 32 5.336
2 33 5.052
2 34 5.645
2 35 4.742
2 36 5.649
2 37 6.147
2 38 4.387
2 39 6.195
2 40 6.488
2 41 6.118
2 42 5.695
2 43 6.413
2 44 5.706
2 45 6.417
2 46 5.035
2 47 5.792
2 48 5.790
2 49 6.524
2 50 5.076
2 51 6.003
2 52 6.761
2 53 5.094
2 54 6.266
2 55 6.769
2 56 5.648
2 57 6.662
2 58 5.602
2 59 5.793
2 60 5.901
2 61 5.051
2 62 6.293
2 63 5.784
2 64 6.047
2 65 6.444
2 66 4.992
2 67 5.394
2 68 6.217
2 69 4.717
2 70 4.838
2 71 5.295
2 72 5.358
2 73 5.609
2 74 6.058
2 75 5.890
2 76 5.904
2 77 4.943
2 78 5.278
2 79 6.655
2 80 5.237
2 81 5.573
2 82 6.322
2 83 6.022
2 84 5.846
2 85 5.711
2 86 4.932
2 87 5.912
2 88 4.968
2 89 5.676
2 90 4.999
2 91 4.861
2 92 6.059
2 93 5.353
2 94 6.079
2 95 6.767
2 96 4.222
2 97 5.761
2 98 6.501
2 99 6.424
3 4 1.115
3 5 7.271
3 6 6.380
3 7 5.874
3 8 6.138
3 9 6.248
3 10 5.164
3 11 6.663
3 12 6.745
3 13 5.560
3 14 6.925
3 15 7.133
3 16 6.177
3 17 7.291
3 18 6.091
3 19 5.277
3 20 7.095
3 21 5.427
3 22 5.634
3 23 5.673
3 24 5.713
3 25 5.399
3 26 6.031
3 27 5.655
3 28 6.498
3 29 5.454
3 30 6.181
3 31 6.732
3 32 5.890
3 33 5.596
3 34 6.199
3 35 5.296
3 36 6.201
3 37 6.700
3 38 4.942
3 39 6.745
3 40 7.042
3 41 6.673
3 42 6.246
3 43 6.966
3 44 6.261
3 45 6.969
3 46 5.585
3 47 6.340
3 48 6.337
3 49 7.072
3 50 5.630
3 51 6.558
3 52 7.315
3 53 5.649
3 54 6.821
3 55 7.324
3 56 6.199
3 57 7.217
3 58 6.156
3 59 6.348
3 60 6.457
3 61 5.606
3 62 6.841
3 63 6.339
3 64 6.603
3 65 6.997
3 66 5.543
3 67 5.948
3 68 6.772
3 69 5.264
3 70 5.388
3 71 5.844
3 72 5.910
3 73 6.162
3 74 6.613
3 75 6.445
3 76 6.450
3 77 5.498
3 78 5.826
3 79 7.210
3 80 5.789
3 81 6.126
3 82 6.877
3 83 6.576
3 84 6.400
3 85 6.265
3 86 5.483
3 87 6.467
3 88 5.521
3 89 6.223
3 90 5.555
3 91 5.410
3 92 6.614
3 93 5.908
3 94 6.629
3 95 7.322
3 96 4.764
3 97 6.313
3 98 7.056
3 99 6.979
4 5 6.258
4 6 5.431
4 7 4.900
4 8 5.222
4 9 5.255
4 10 4.285
4 11 5.701
4 12 5.737
4 13 4.585
4 14 5.936
4 15 6.183
4 16 5.233
4 17 6.326
4 18 5.116
4 19 4.357
4 20 6.060
4 21 4.520
4 22 4.919
4 23 4.820
4 24 4.830
4 25 4.430
4 26 5.116
4 27 4.737
4 28 5.491
4 29 4.506
4 30 5.238
4 31 5.770
4 32 4.951
4 33 4.747
4 34 5.253
4 35 4.363
4 36 5.281
4 37 5.775
4 38 3.971
4 39 5.843
4 40 6.080
4 41 5.696
4 42 5.341
4 43 6.030
4 44 5.295
4 45 6.049
4 46 4.692
4 47 5.454
4 48 5.461
4 49 6.183
4 50 4.691
4 51 5.572
4 52 6.302
4 53 4.676
4 54 5.848
4 55 6.312
4 56 5.284
4 57 6.249
4 58 5.201
4 59 5.381
4 60 5.471
4 61 4.612
4 62 5.954
4 63 5.368
4 64 5.609
4 65 6.063
4 66 4.638
4 67 4.996
4 68 5.782
4 69 4.398
4 70 4.494
4 71 4.957
4 72 5.000
4 73 5.236
4 74 5.655
4 75 5.435
4 76 5.582
4 77 4.542
4 78 4.949
4 79 6.242
4 80 4.875
4 81 5.198
4 82 5.894
4 83 5.559
4 84 5.460
4 85 5.325
4 86 4.572
4 87 5.482
4 88 4.593
4 89 5.345
4 90 4.574
4 91 4.528
4 92 5.625
4 93 4.952
4 94 5.721
4 95 6.322
4 96 3.936
4 97 5.388
4 98 6.092
4 99 6.009
5 6 1.148
5 7 1.455
5 8 1.532
5 9 1.044
5 10 2.422
5 11 0.859
5 12 0.528
5 13 1.750
5 14 0.461
5 15 0.810
5 16 1.333
5 17 0.636
5 18 1.254
5 19 2.172
5 20 0.393
5 21 2.100
5 22 3.014
5 23 2.200
5 24 2.004
5 25 1.918
5 26 1.612
5 27 1.871
5 28 0.775
5 29 1.921
5 30 1.339
5 31 0.819
5 32 1.583
5 33 2.266
5 34 1.303
5 35 2.114
5 36 1.465
5 37 1.172
5 38 2.354
5 39 1.367
5 40 0.689
5 41 0.740
5 42 1.545
5 43 0.976
5 44 1.139
5 45 1.148
5 46 2.042
5 47 1.637
5 48 1.719
5 49 1.450
5 50 1.802
5 51 0.778
5 52 0.044
5 53 1.670
5 54 0.666
5 55 0.055
5 56 1.502
5 57 0.588
5 58 1.284
5 59 1.060
5 60 0.875
5 61 1.673
5 62 1.485
5 63 1.050
5 64 0.709
5 65 0.998
5 66 2.021
5 67 1.473
5 68 0.570
5 69 2.402
5 70 2.184
5 71 1.901
5 72 1.725
5 73 1.452
5 74 0.927
5 75 0.826
5 76 1.739
5 77 1.859
5 78 1.971
5 79 0.590
5 80 1.787
5 81 1.465
5 82 0.547
5 83 0.700
5 84 1.201
5 85 1.289
5 86 2.036
5 87 0.864
5 88 1.935
5 89 1.746
5 90 1.743
5 91 2.224
5 92 0.719
5 93 1.489
5 94 1.343
5 95 0.188
5 96 2.915
5 97 1.363
5 98 0.658
5 99 0.614
6 7 0.574
6 8 0.386
6 9 0.491
6 10 1.319
6 11 0.309
6 12 0.750
6 13 0.870
6 14 0.688
6 15 0.753
6 16 0.208
6 17 0.920
6 18 0.393
6 19 1.120
6 20 1.265
6 21 1.004
6 22 1.896
6 23 1.052
6 24 0.858
6 25 1.008
6 26 0.464
6 27 0.766
6 28 0.649
6 29 0.927
6 30 0.209
6 31 0.371
6 32 0.496
6 33 1.119
6 34 0.183
6 35 1.088
6 36 0.324
6 37 0.414
6 38 1.464
6 39 0.607
6 40 0.670
6 41 0.409
6 42 0.435
6 43 0.608
6 44 0.213
6 45 0.674
6 46 0.912
6 47 0.589
6 48 0.680
6 49 0.938
6 50 0.753
6 51 0.433
6 52 1.185
6 53 0.779
6 54 0.503
6 55 1.182
6 56 0.366
6 57 0.855
6 58 0.234
6 59 0.190
6 60 0.391
6 61 0.914
6 62 0.781
6 63 0.226
6 64 0.520
6 65 0.645
6 66 0.908
6 67 0.435
6 68 0.589
6 69 1.278
6 70 1.075
6 71 0.753
6 72 0.581
6 73 0.304
6 74 0.245
6 75 0.681
6 76 0.760
6 77 0.889
6 78 0.824
6 79 0.847
6 80 0.658
6 81 0.319
6 82 0.607
6 83 0.793
6 84 0.098
6 85 0.142
6 86 0.941
6 87 0.396
6 88 0.871
6 89 0.660
6 90 0.896
6 91 1.100
6 92 0.478
6 93 0.481
6 94 0.484
6 95 1.094
6 96 1.808
6 97 0.244
6 98 0.688
6 99 0.632
7 8 0.614
7 9 0.418
7 10 1.020
7 11 0.805
7 12 0.939
7 13 0.315
7 14 1.058
7 15 1.298
7 16 0.434
7 17 1.426
7 18 0.217
7 19 0.736
7 20 1.416
7 21 0.711
7 22 1.938
7 23 1.022
7 24 0.791
7 25 0.476
7 26 0.578
7 27 0.536
7 28 0.710
7 29 0.470
7 30 0.446
7 31 0.873
7 32 0.330
7 33 1.055
7 34 0.436
7 35 0.667
7 36 0.619
7 37 0.981
7 38 0.933
7 39 1.145
7 40 1.183
7 41 0.799
7 42 0.761
7 43 1.176
7 44 0.399
7 45 1.248
7 46 0.740
7 47 0.954
7 48 1.030
7 49 1.494
7 50 0.397
7 51 0.692
7 52 1.498
7 53 0.225
7 54 0.948
7 55 1.502
7 56 0.658
7 57 1.349
7 58 0.346
7 59 0.483
7 60 0.590
7 61 0.342
7 62 1.311
7 63 0.468
7 64 0.749
7 65 1.215
7 66 0.675
7 67 0.227
7 68 0.910
7 69 1.040
7 70 0.808
7 71 0.766
7 72 0.589
7 73 0.551
7 74 0.765
7 75 0.685
7 76 1.152
7 77 0.405
7 78 0.845
7 79 1.341
7 80 0.542
7 81 0.515
7 82 1.004
7 83 0.841
7 84 0.639
7 85 0.524
7 86 0.654
7 87 0.601
7 88 0.525
7 89 0.948
7 90 0.330
7 91 0.878
7 92 0.750
7 93 0.176
7 94 1.012
7 95 1.468
7 96 1.501
7 97 0.661
7 98 1.193
7 99 1.109
8 9 0.769
8 10 1.001
8 11 0.679
8 12 1.129
8 13 0.808
8 14 1.071
8 15 1.036
8 16 0.254
8 17 1.237
8 18 0.557
8 19 0.865
8 20 1.647
8 21 0.711
8 22 1.515
8 23 0.669
8 24 0.490
8 25 0.895
8 26 0.108
8 27 0.485
8 28 0.997
8 29 0.754
8 30 0.240
8 31 0.731
8 32 0.330
8 33 0.738
8 34 0.278
8 35 0.862
8 36 0.071
8 37 0.564
8 38 1.310
8 39 0.629
8 40 0.996
8 41 0.795
8 42 0.152
8 43 0.843
8 44 0.488
8 45 0.831
8 46 0.574
8 47 0.342
8 48 0.416
8 49 0.983
8 50 0.555
8 51 0.810
8 52 1.568
8 53 0.733
8 54 0.876
8 55 1.565
8 56 0.063
8 57 1.185
8 58 0.363
8 59 0.528
8 60 0.750
8 61 0.926
8 62 0.767
8 63 0.555
8 64 0.897
8 65 0.869
8 66 0.599
8 67 0.388
8 68 0.976
8 69 0.937
8 70 0.761
8 71 0.374
8 72 0.233
8 73 0.091
8 74 0.610
8 75 1.015
8 76 0.539
8 77 0.746
8 78 0.440
8 79 1.178
8 80 0.349
8 81 0.107
8 82 0.987
8 83 1.145
8 84 0.334
8 85 0.251
8 86 0.655
8 87 0.757
8 88 0.632
8 89 0.342
8 90 0.854
8 91 0.764
8 92 0.859
8 93 0.443
8 94 0.502
8 95 1.468
8 96 1.474
8 97 0.189
8 98 1.020
8 99 0.986
9 10 1.428
9 11 0.549
9 12 0.523
9 13 0.705
9 14 0.681
9 15 1.031
9 16 0.516
9 17 1.108
9 18 0.254
9 19 1.152
9 20 1.002
9 21 1.111
9 22 2.248
9 23 1.345
9 24 1.117
9 25 0.874
9 26 0.792
9 27 0.908
9 28 0.294
9 29 0.887
9 30 0.530
9 31 0.607
9 32 0.636
9 33 1.393
9 34 0.494
9 35 1.085
9 36 0.734
9 37 0.871
9 38 1.314
9 39 1.086
9 40 0.886
9 41 0.469
9 42 0.876
9 43 0.970
9 44 0.293
9 45 1.091
9 46 1.104
9 47 1.055
9 48 1.145
9 49 1.393
9 50 0.798
9 51 0.323
9 52 1.088
9 53 0.626
9 54 0.625
9 55 1.094
9 56 0.782
9 57 1.024
9 58 0.407
9 59 0.303
9 60 0.229
9 61 0.644
9 62 1.261
9 63 0.267
9 64 0.355
9 65 1.013
