nodei nodej distance
0 1 1.593
0 2 2.181
0 3 2.249
0 4 1.169
0 5 1.712
0 6 2.389
0 7 2.835
0 8 2.214
0 9 1.973
0 10 1.870
0 11 2.698
0 12 3.351
0 13 1.560
0 14 1.283
0 15 3.658
0 16 1.851
0 17 2.140
0 18 2.091
0 19 3.695
0 20 2.145
0 21 3.299
0 22 1.593
0 23 1.600
0 24 2.001
0 25 3.634
0 26 1.782
0 27 2.493
0 28 1.541
0 29 3.340
1 2 1.526
1 3 2.295
1 4 2.750
1 5 2.330
1 6 1.592
1 7 2.660
1 8 3.062
1 9 1.480
1 10 1.027
1 11 2.951
1 12 3.773
1 13 1.196
1 14 2.182
1 15 4.284
1 16 1.948
1 17 1.730
1 18 2.673
1 19 3.963
1 20 2.357
1 21 3.650
1 22 1.600
1 23 2.402
1 24 1.263
1 25 4.024
1 26 1.216
1 27 2.281
1 28 1.889
1 29 4.720
2 3 1.024
2 4 3.220
2 5 1.557
2 6 0.240
2 7 1.182
2 8 2.250
2 9 0.239
2 10 0.499
2 11 1.669
2 12 2.496
2 13 0.622
2 14 1.759
2 15 3.099
2 16 0.900
2 17 0.320
2 18 1.728
2 19 2.583
2 20 1.201
2 21 2.341
2 22 0.783
2 23 1.770
2 24 0.263
2 25 2.707
2 26 0.409
2 27 0.834
2 28 1.138
2 29 4.278
3 4 3.003
3 5 0.829
3 6 1.195
3 7 0.610
3 8 1.339
3 9 0.899
3 10 1.380
3 11 0.668
3 12 1.503
3 13 1.100
3 14 1.251
3 15 2.082
3 16 0.409
3 17 0.705
3 18 0.806
3 19 1.669
3 20 0.237
3 21 1.365
3 22 0.745
3 23 1.085
3 24 1.192
3 25 1.739
3 26 1.115
3 27 0.397
3 28 0.714
3 29 3.430
4 5 2.251
4 6 3.446
4 7 3.613
4 8 2.407
4 9 2.991
4 10 2.983
4 11 3.257
4 12 3.703
4 13 2.612
4 14 1.774
4 15 3.813
4 16 2.664
4 17 3.107
4 18 2.544
4 19 4.119
4 20 2.830
4 21 3.708
4 22 2.513
4 23 2.032
4 24 3.079
4 25 3.977
4 26 2.848
4 27 3.332
4 28 2.313
4 29 2.680
5 6 1.785
5 7 1.410
5 8 0.748
5 9 1.342
5 10 1.695
5 11 1.021
5 12 1.644
5 13 1.260
5 14 0.482
5 15 2.021
5 16 0.668
5 17 1.281
5 18 0.387
5 19 1.985
5 20 0.612
5 21 1.587
5 22 0.842
5 23 0.256
5 24 1.603
5 25 1.926
5 26 1.418
5 27 1.217
5 28 0.469
5 29 2.721
6 7 1.246
6 8 2.463
6 9 0.478
6 10 0.598
6 11 1.813
6 12 2.625
6 13 0.837
6 14 1.998
6 15 3.244
6 16 1.121
6 17 0.514
6 18 1.936
6 19 2.675
6 20 1.391
6 21 2.462
6 22 1.023
6 23 2.003
6 24 0.398
6 25 2.821
6 26 0.607
6 27 0.941
6 28 1.374
6 29 4.506
7 8 1.773
7 9 1.180
7 10 1.654
7 11 0.751
7 12 1.444
7 13 1.519
7 14 1.854
7 15 2.095
7 16 0.985
7 17 0.930
7 18 1.284
7 19 1.434
7 20 0.799
7 21 1.267
7 22 1.268
7 23 1.663
7 24 1.425
7 25 1.604
7 26 1.445
7 27 0.383
7 28 1.318
7 29 3.847
8 9 2.052
8 10 2.436
8 11 1.102
8 12 1.303
8 13 2.007
8 14 0.959
8 15 1.457
8 16 1.352
8 17 1.949
8 18 0.535
8 19 1.738
8 20 1.106
8 21 1.333
8 22 1.583
8 23 0.673
8 24 2.328
8 25 1.572
8 26 2.155
8 27 1.725
8 28 1.216
8 29 2.094
9 10 0.489
9 11 1.564
9 12 2.399
9 13 0.424
9 14 1.523
9 15 2.980
9 16 0.701
9 17 0.250
9 18 1.541
9 19 2.527
9 20 1.044
9 21 2.254
9 22 0.547
9 23 1.546
9 24 0.295
9 25 2.626
9 26 0.270
9 27 0.803
9 28 0.909
9 29 4.059
10 11 2.048
10 12 2.883
10 13 0.457
10 14 1.762
10 15 3.452
10 16 1.123
10 17 0.729
10 18 1.952
10 19 3.016
10 20 1.503
10 21 2.741
10 22 0.853
10 23 1.860
10 24 0.236
