nodei nodej distance
0 1 3.244
0 2 1.293
0 3 1.541
0 4 2.597
0 5 0.539
0 6 1.197
0 7 2.174
0 8 1.918
0 9 0.989
0 10 1.640
0 11 0.476
0 12 4.728
0 13 1.574
0 14 2.608
0 15 1.260
0 16 1.876
0 17 2.639
0 18 3.133
0 19 1.442
0 20 1.061
0 21 1.434
0 22 2.911
0 23 2.052
0 24 1.101
0 25 1.615
0 26 1.282
0 27 1.494
0 28 0.594
0 29 1.610
0 30 2.288
0 31 5.357
0 32 5.260
0 33 1.231
0 34 0.205
0 35 1.063
0 36 2.527
0 37 4.346
0 38 3.448
0 39 1.462
0 40 0.609
0 41 0.805
0 42 0.534
0 43 5.523
0 44 1.298
0 45 0.247
0 46 1.132
0 47 2.403
0 48 0.711
0 49 3.081
0 50 1.511
0 51 2.839
0 52 0.594
0 53 2.083
0 54 2.271
0 55 0.325
0 56 0.923
0 57 0.163
0 58 0.920
0 59 0.866
0 60 0.491
0 61 3.106
0 62 0.524
0 63 1.230
0 64 1.086
0 65 1.895
0 66 1.921
0 67 2.813
0 68 0.642
0 69 0.933
0 70 1.890
0 71 1.110
0 72 1.021
0 73 0.332
0 74 2.842
0 75 3.010
0 76 0.545
0 77 0.594
0 78 0.748
0 79 1.024
0 80 3.258
0 81 0.984
0 82 1.115
0 83 2.339
0 84 2.549
0 85 3.982
0 86 2.748
0 87 0.847
0 88 3.303
0 89 0.563
0 90 2.155
0 91 1.847
0 92 0.973
0 93 2.430
0 94 0.328
0 95 2.642
0 96 2.380
0 97 1.785
0 98 1.022
0 99 2.521
1 2 2.710
1 3 1.738
1 4 0.813
1 5 2.754
1 6 2.047
1 7 1.208
1 8 1.466
1 9 2.324
1 10 1.862
1 11 2.829
1 12 1.576
1 13 1.695
1 14 0.636
1 15 1.984
1 16 1.383
1 17 0.911
1 18 0.190
1 19 1.889
1 20 2.185
1 21 1.880
1 22 0.338
1 23 1.193
1 24 3.922
1 25 1.650
1 26 1.989
1 27 1.907
1 28 3.837
1 29 1.835
1 30 1.158
1 31 2.176
1 32 2.125
1 33 2.177
1 34 3.336
1 35 2.250
1 36 0.748
1 37 1.210
1 38 0.204
1 39 1.846
1 40 2.640
1 41 3.921
1 42 3.031
1 43 2.378
1 44 1.947
1 45 3.033
1 46 2.128
1 47 0.850
1 48 2.867
1 49 0.180
1 50 1.734
1 51 0.425
1 52 3.304
1 53 1.247
1 54 1.014
1 55 2.922
1 56 2.410
1 57 3.281
1 58 3.434
1 59 2.477
1 60 3.673
1 61 0.166
1 62 3.743
1 63 4.140
1 64 2.161
1 65 1.441
1 66 1.335
1 67 0.597
1 68 3.103
1 69 2.336
1 70 1.374
1 71 2.376
1 72 2.266
1 73 3.077
1 74 0.844
1 75 0.270
1 76 2.865
1 77 2.661
1 78 2.601
1 79 2.228
1 80 0.075
1 81 4.228
1 82 2.167
1 83 0.931
1 84 0.912
1 85 0.863
1 86 0.767
1 87 2.898
1 88 0.169
1 89 2.950
1 90 1.143
1 91 1.565
1 92 2.671
1 93 0.891
1 94 3.015
1 95 0.603
1 96 1.015
1 97 1.485
1 98 2.228
1 99 0.739
2 3 1.124
2 4 1.914
2 5 0.884
2 6 1.129
2 7 1.502
2 8 1.891
2 9 0.773
2 10 0.852
2 11 0.897
2 12 4.286
2 13 1.178
2 14 2.146
2 15 1.150
2 16 1.651
2 17 1.873
2 18 2.546
2 19 0.937
2 20 1.042
2 21 0.967
2 22 2.382
2 23 1.649
2 24 2.392
2 25 1.222
2 26 0.995
2 27 0.856
2 28 1.693
2 29 0.893
2 30 2.175
2 31 4.881
2 32 4.834
2 33 0.671
2 34 1.206
2 35 1.394
2 36 1.972
2 37 3.915
2 38 2.904
2 39 0.998
2 40 0.995
2 41 2.072
2 42 1.606
2 43 5.088
2 44 1.207
2 45 1.294
2 46 1.262
2 47 2.016
2 48 1.649
2 49 2.530
2 50 1.279
2 51 2.397
2 52 0.884
2 53 1.925
2 54 1.988
2 55 1.174
2 56 0.723
2 57 1.444
2 58 2.133
2 59 0.705
2 60 1.754
2 61 2.620
2 62 1.747
2 63 2.521
2 64 1.039
2 65 1.293
2 66 1.667
2 67 2.146
2 68 1.752
2 69 0.889
2 70 1.673
2 71 0.506
2 72 0.846
2 73 0.961
2 74 2.661
2 75 2.441
2 76 0.769
2 77 1.170
2 78 0.719
2 79 0.988
2 80 2.694
2 81 2.011
2 82 0.886
2 83 1.806
2 84 2.352
2 85 3.558
2 86 2.514
2 87 1.806
2 88 2.825
2 89 0.730
2 90 1.589
2 91 1.150
2 92 1.764
2 93 1.820
2 94 1.380
2 95 2.187
2 96 1.698
2 97 1.331
2 98 1.005
2 99 1.994
3 4 1.056
3 5 1.025
3 6 0.393
3 7 0.640
3 8 0.791
3 9 0.586
3 10 0.418
3 11 1.100
3 12 3.282
3 13 0.054
3 14 1.115
3 15 0.340
3 16 0.527
3 17 1.109
3 18 1.609
3 19 0.188
3 20 0.497
3 21 0.160
3 22 1.400
3 23 0.563
3 24 2.399
3 25 0.099
3 26 0.260
3 27 0.291
3 28 2.127
3 29 0.338
3 30 1.051
3 31 3.899
3 32 3.827
3 33 0.475
3 34 1.611
