x y mean-x mean-y std-x std-y
1 5 -0.001 -0.015 0.155 0.154
1 10 -0.006 -0.024 0.142 0.153
1 25 0.187 -0.990 0.137 0.136
1 50 -0.929 -0.806 0.106 0.119
1 100 -0.685 -0.934 0.168 0.119
5 5 -0.044 0.040 0.139 0.134
5 10 0.753 0.948 0.134 0.114
5 25 0.669 -0.940 0.166 0.121
5 50 0.215 1.026 0.364 0.079
5 100 -0.830 0.388 0.161 0.337
10 5 -0.276 -0.894 0.152 0.126
10 10 -1.032 0.627 0.088 0.147
10 25 0.692 0.818 0.264 0.225
10 50 0.806 -0.446 0.184 0.330
10 100 0.777 0.082 0.033 0.333
25 5 -0.533 -1.111 0.184 0.089
25 10 1.037 0.427 0.127 0.301
25 25 0.626 0.646 0.268 0.263
25 50 0.746 -0.093 0.042 0.338
25 100 0.330 0.538 0.280 0.176
50 5 -0.367 1.119 0.324 0.107
50 10 -0.051 -1.001 0.427 0.027
50 25 0.763 -0.041 0.019 0.355
50 50 0.565 0.294 0.139 0.296
50 100 0.205 0.509 0.288 0.125
100 5 -0.802 0.751 0.365 0.391
100 10 -0.843 -0.234 0.119 0.427
100 25 -0.392 -0.520 0.273 0.206
100 50 -0.002 0.550 0.325 0.006
100 100 0.226 -0.452 0.230 0.203
