x y mean-x mean-y std-x std-y
1 5 0.027 0.006 0.139 0.147
1 10 0.111 0.067 0.159 0.149
1 25 0.306 -1.031 0.140 0.097
1 50 0.073 1.178 0.146 0.053
1 100 -0.702 0.882 0.131 0.105
5 5 0.204 -0.146 0.202 0.175
5 10 -0.423 1.068 0.126 0.080
5 25 -0.039 1.131 0.142 0.042
5 50 -0.923 0.509 0.075 0.138
5 100 -0.154 -0.938 0.158 0.032
10 5 -0.015 0.763 0.145 0.225
10 10 0.910 -0.733 0.100 0.120
10 25 -1.049 0.122 0.044 0.171
10 50 0.944 -0.155 0.037 0.160
10 100 -0.711 0.473 0.080 0.109
25 5 -1.083 0.472 0.069 0.142
25 10 0.952 -0.552 0.089 0.147
25 25 -0.728 0.596 0.102 0.136
25 50 0.787 0.294 0.045 0.133
25 100 0.728 0.295 0.036 0.121
50 5 1.140 0.215 0.059 0.248
50 10 0.150 1.013 0.201 0.042
50 25 -0.688 -0.497 0.094 0.113
50 50 0.525 -0.585 0.088 0.098
50 100 0.712 -0.297 0.071 0.112
100 5 1.099 0.044 0.018 0.264
100 10 0.900 -0.214 0.037 0.178
100 25 0.693 0.385 0.079 0.106
100 50 -0.596 -0.498 0.094 0.083
100 100 -0.311 -0.699 0.120 0.078
