Degree Betweenness Closeness Clustering Eigenvector Membership
88 91105.16931435 0.00525053 0.00235110 0.00000000 0
7 4733.31544392 0.00525343 0.23809524 0.00000000 0
3 0.00000000 0.00522874 0.00000000 0.00000000 0
3 719.76785714 0.00523501 0.33333333 0.00000000 0
56 93779.50020410 0.00526089 0.00519481 0.00000000 0
8 0.00000000 0.00524407 0.00000000 0.00000000 0
3 0.00000000 0.00522874 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
20 0.00000000 0.00524661 0.05263158 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
8 0.00000000 0.00523618 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
6 14526.99275529 0.00525325 0.13333333 0.00000000 0
13 1190.16890300 0.00524145 0.01282051 0.00000000 0
9 1754.43630921 0.00524180 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
6 1125.39974425 0.00523486 0.00000000 0.00000000 0
5 497.67364891 0.00523930 0.00000000 0.00000000 0
3 0.00000000 0.00522425 0.00000000 0.00000000 0
3 408.00000000 0.00522895 0.00000000 0.00000000 0
35 30479.71332544 0.00524679 0.03361345 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
2 145.38478743 0.00522411 0.00000000 0.00000000 0
2 0.00000000 0.00522819 0.00000000 0.00000000 0
17 5155.10757455 0.00525278 0.44852941 0.00000000 0
24 0.00000000 0.00523758 0.36231884 0.00000000 0
40 2638.90774505 0.00525067 0.13076923 0.00000000 0
18 4035.61392381 0.00523866 0.43790850 0.00000000 0
36 18863.16024110 0.00525379 0.18571429 0.00000000 0
13 32.43241064 0.00523419 0.51282051 0.00000000 0
13 95.54008705 0.00523753 0.56410256 0.00000000 0
5 0.00000000 0.00522904 1.00000000 0.00000000 0
16 217.19155932 0.00523708 0.46666667 0.00000000 0
31 1680.03272449 0.00523556 0.05376344 0.00000000 0
27 0.00000000 0.00524161 0.27350427 0.00000000 0
22 3149.45483158 0.00524296 0.26406926 0.00000000 0
46 3037.55384546 0.00524807 0.00193237 0.00000000 0
13 8013.32868871 0.00525364 0.35897436 0.00000000 0
23 448.99153676 0.00523828 0.35968379 0.00000000 0
41 9846.67859034 0.00524786 0.15365854 0.00000000 0
10 26.68333333 0.00523659 0.51111111 0.00000000 0
13 3769.24730731 0.00524853 0.29487179 0.00000000 0
6 13.98081752 0.00522696 0.60000000 0.00000000 0
9 1596.72254235 0.00524244 0.22222222 0.00000000 115
7 1295.47387202 0.00524565 0.14285714 0.00000000 0
7 2.00000000 0.00522707 0.71428571 0.00000000 0
15 1695.51792792 0.00523859 0.37142857 0.00000000 0
4 0.00000000 0.00522556 0.33333333 0.00000000 0
10 536.89188143 0.00523357 0.26666667 0.00000000 0
81 8741.36040008 0.00524949 0.00216049 0.00000000 0
7 52.32107153 0.00521446 0.00000000 0.00000000 0
22 12745.26095659 0.00523394 0.06060606 0.00000000 0
12 1111.69198233 0.00523438 0.06060606 0.00000000 0
11 3781.30051822 0.00523289 0.14545455 0.00000000 0
8 28.55671292 0.00523786 0.57142857 0.00000000 0
7 0.00000000 0.00523985 0.00000000 0.00000000 0
19 784.07412206 0.00523868 0.21052632 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
11 0.00000000 0.00523386 0.10909091 0.00000000 0
27 1734.83588567 0.00524216 0.22222222 0.00000000 0
4 133.54037608 0.00522999 0.00000000 0.00000000 0
16 567.99256400 0.00524309 0.33333333 0.00000000 0
28 7999.70719234 0.00524195 0.02380952 0.00000000 0
4 3853.73927119 0.00524024 0.50000000 0.00000000 0
13 1999.47183951 0.00521844 0.15384615 0.00000000 0
4 1422.43771410 0.00522948 0.16666667 0.00000000 0
4 481.32896825 0.00522991 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
3 0.00000000 0.00523056 0.00000000 0.00000000 0
4 16919.44209803 0.00524460 0.00000000 0.00000000 0
9 12930.60355044 0.00523881 0.08333333 0.00000000 0
8 897.56385592 0.00523381 0.03571429 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
11 1071.06327006 0.00523817 0.25454545 0.00000000 0
2 0.00000000 0.00522819 0.00000000 0.00000000 0
2 508.65580018 0.00522893 0.00000000 0.00000000 0
2 0.00000000 0.00522371 0.00000000 0.00000000 0
43 35682.86628522 0.00524930 0.00664452 0.00000000 0
4 384.78077607 0.00525380 0.00000000 0.00000000 0
7 1590.33958264 0.00523574 0.19047619 0.00000000 0
56 45122.48160777 0.00525996 0.04935065 0.00000000 0
45 28360.37679848 0.00524575 0.00303030 0.00000000 0
5 0.00000000 0.00522992 0.00000000 0.00000000 0
4 0.00000000 0.00523903 0.00000000 0.00000000 0
8 0.00000000 0.00524345 0.17857143 0.00000000 0
8 0.00000000 0.00525520 0.10714286 0.00000000 0
2 0.00000000 0.00522552 0.00000000 0.00000000 114
2 0.00000000 0.00522737 0.00000000 0.00000000 0
1 0.00000000 0.00521897 0.00000000 0.00000000 0
20 6926.24539102 0.00524471 0.08421053 0.00000000 0
5 0.00000000 0.00524413 0.30000000 0.00000000 0
31 23936.43567853 0.00525493 0.04516129 0.00000000 116
6 1070.19171220 0.00525217 0.00000000 0.00000000 0
11 0.00000000 0.00525359 0.23636364 0.00000000 0
2 0.00000000 0.00525049 0.00000000 0.00000000 0
3 2488.52670543 0.00525103 0.00000000 0.00000000 0
13 5217.17693598 0.00524778 0.02564103 0.00000000 0
3 2284.53218954 0.00525077 0.00000000 0.00000000 0
2 2243.91314192 0.00525049 0.00000000 0.00000000 0
13 10627.98091450 0.00524692 0.15384615 0.00000000 0
3 2250.24647525 0.00525094 0.33333333 0.00000000 0
6 3475.36357875 0.00525298 0.13333333 0.00000000 0
8 3511.83618199 0.00525314 0.10714286 0.00000000 0
54 19866.46370254 0.00525092 0.00838574 0.00000000 0
16 8636.86612736 0.00524362 0.05000000 0.00000000 0
25 1478.04015328 0.00523900 0.06000000 0.00000000 114
2 30.08372294 0.00522241 0.00000000 0.00000000 0
5 286.82218416 0.00523705 0.10000000 0.00000000 0
2 54.87179487 0.00521951 0.00000000 0.00000000 0
11 245.18333333 0.00522950 0.16363636 0.00000000 0
8 1757.94240529 0.00525321 0.03571429 0.00000000 0
7 0.00000000 0.00525293 0.00000000 0.00000000 0
7 1086.43271889 0.00524425 0.00000000 0.00000000 0
3 174.09313875 0.00522204 0.00000000 0.00000000 0
1 0.00000000 0.00521897 0.00000000 0.00000000 0
2 0.00000000 0.00522454 0.00000000 0.00000000 114
2 0.00000000 0.00522463 0.00000000 0.00000000 0
17 479.22938758 0.00523493 0.19117647 0.00000000 0
2 0.00000000 0.00523380 0.00000000 0.00000000 0
8 0.00000000 0.00525596 0.21428571 0.00000000 0
1 0.00000000 0.00521897 0.00000000 0.00000000 0
1 0.00000000 0.00521897 0.00000000 0.00000000 0
1 0.00000000 0.00521897 0.00000000 0.00000000 0
5 0.00000000 0.00522610 0.50000000 0.00000000 0
3 572.40526316 0.00522218 0.00000000 0.00000000 0
6 49.24588186 0.00523144 0.13333333 0.00000000 0
2 0.00000000 0.00522229 0.00000000 0.00000000 0
1 0.00000000 0.00522371 0.00000000 0.00000000 0
6 540.25027199 0.00523848 0.06666667 0.00000000 0
13 11507.67439609 0.00523149 0.07692308 0.00000000 0
3 206.14177489 0.00523640 0.00000000 0.00000000 0
9 1824.33985667 0.00523907 0.02777778 0.00000000 0
19 3965.72442516 0.00524388 0.03508772 0.00000000 0
4 0.00000000 0.00523849 0.00000000 0.00000000 0
1 0.00000000 0.00516143 0.00000000 0.00000000 0
3 2.00000000 0.00518762 0.00000000 0.00000000 0
13 2440.42139296 0.00524616 0.10256410 0.00000000 0
4 0.00000000 0.00525122 0.33333333 0.00000000 0
6 40.21857143 0.00523344 0.00000000 0.00000000 0
2 0.00000000 0.00520773 0.00000000 0.00000000 0
5 210.09090909 0.00522555 0.30000000 0.00000000 0
7 7845.76822235 0.00525249 0.09523810 0.00000000 0
19 5172.00721969 0.00523732 0.03508772 0.00000000 0
15 1864.56443645 0.00524116 0.02857143 0.00000000 114
154 212342.89215827 0.00526328 0.01094983 0.00000000 0
27 10806.34815189 0.00525543 0.19373219 0.00000000 0
6 3961.81673381 0.00525240 0.13333333 0.00000000 0
1137 2072078.35133649 0.00527715 0.00105603 0.00000000 0
4 0.00000000 0.00525162 0.16666667 0.00000000 0
3 0.00000000 0.00522941 0.33333333 0.00000000 0
63 36415.55288461 0.00525726 0.01382488 0.00000000 0
7 112.01758618 0.00525281 0.23809524 0.00000000 0
5 5818.52159687 0.00525474 0.20000000 0.00000000 0
18 23837.73850899 0.00525799 0.09803922 0.00000000 0
30 15394.61719326 0.00524281 0.13333333 0.00000000 0
9 0.00000000 0.00523626 0.02777778 0.00000000 0
31 9974.33205910 0.00524354 0.13333333 0.00000000 0
28 4076.54407827 0.00524228 0.13492063 0.00000000 0
9 6993.89280223 0.00525630 0.13888889 0.00000000 0
34 7234.00000000 0.00524684 0.00178253 0.00000000 0
135 87371.07583388 0.00525053 0.01625207 0.00000000 0
30 9534.70307278 0.00524598 0.07816092 0.00000000 0
98 49475.55668059 0.00525506 0.01977698 0.00000000 0
67 13109.06120146 0.00525539 0.03030303 0.00000000 0
21 70083.89605278 0.00525581 0.03333333 0.00000000 0
103 15927.49997301 0.00525031 0.00247478 0.00000000 0
8 357.10182449 0.00523454 0.07142857 0.00000000 0
7 1.04885076 0.00523244 0.09523810 0.00000000 0
15 1054.57039839 0.00523731 0.01904762 0.00000000 0
6 0.00000000 0.00522993 0.13333333 0.00000000 0
13 1072.97459332 0.00524090 0.32051282 0.00000000 114
