Degree Betweenness Closeness Clustering Eigenvector Membership
19 1905.85582388 0.00390628 0.17543860 0.00000000 0
9 495.89771166 0.00390318 0.16666667 0.00000000 0
8 21.01541010 0.00390189 0.07142857 0.00000000 0
40 444.12057161 0.00390889 0.22820513 0.00000000 0
6 8.59543465 0.00390357 0.20000000 0.00000000 216
98 8878.86758754 0.00391322 0.14643383 0.00000000 217
114 21557.79709896 0.00391553 0.12824096 0.00000000 218
100 18305.05432861 0.00391351 0.09717172 0.00000000 216
4 385.46121131 0.00389544 0.16666667 0.00000000 220
12 0.00000000 0.00390965 0.13636364 0.00000000 221
15 1499.63952477 0.00390826 0.28571429 0.00000000 218
220 3707.82812508 0.00391536 0.06326276 0.00000000 0
97 11511.50469288 0.00391268 0.09428694 0.00000000 0
239 30530.41115447 0.00391566 0.05741711 0.00000000 218
160 17429.38849615 0.00391364 0.05338050 0.00000000 218
145 53526.82818411 0.00391378 0.08429119 0.00000000 218
4 30.48779072 0.00390179 0.00000000 0.00000000 218
67 7646.13481585 0.00390885 0.19312528 0.00000000 0
386 168239.54875387 0.00391763 0.03270305 0.00000000 218
142 26251.68514749 0.00391435 0.08181001 0.00000000 218
243 80648.53225088 0.00391645 0.07148930 0.00000000 216
2 0.00000000 0.00389473 0.00000000 0.00000000 218
26 11.35541032 0.00390699 0.11076923 0.00000000 220
22 0.00000000 0.00390664 0.12987013 0.00000000 220
8 0.00000000 0.00391091 0.07142857 0.00000000 221
76 0.00000000 0.00390942 0.00947368 0.00000000 220
11 0.00000000 0.00390904 0.10909091 0.00000000 220
767 243855.38399647 0.00392082 0.00511640 0.00000000 220
35 2244.13980694 0.00391109 0.23697479 0.00000000 216
363 78742.43790377 0.00391808 0.01759433 0.00000000 216
53 3159.63430136 0.00390664 0.00435414 0.00000000 220
484 370774.40972226 0.00391783 0.00560375 0.00000000 220
21 1037.64700330 0.00390755 0.05714286 0.00000000 221
17 3568.00076296 0.00390815 0.06617647 0.00000000 221
17 352.17800794 0.00390553 0.18382353 0.00000000 0
2 1110.00000000 0.00389386 0.00000000 0.00000000 221
32 1287.02174139 0.00390950 0.23991935 0.00000000 0
37 5858.06548761 0.00391205 0.17267267 0.00000000 0
1 0.00000000 0.00389467 0.00000000 0.00000000 0
42 9696.87865102 0.00390897 0.13472706 0.00000000 0
5 111.62053636 0.00390275 0.00000000 0.00000000 220
160 52214.49112281 0.00391648 0.05597484 0.00000000 217
7 203.68418897 0.00390473 0.09523810 0.00000000 0
161 28088.06684661 0.00391660 0.11032609 0.00000000 0
85 0.00000000 0.00391176 0.02100840 0.00000000 0
49 62.32295421 0.00390815 0.18197279 0.00000000 0
152 3919.07748617 0.00391472 0.07188916 0.00000000 0
89 608.67398060 0.00390986 0.06358529 0.00000000 0
59 236.50419713 0.00390845 0.08474576 0.00000000 0
23 205.87313127 0.00390619 0.34782609 0.00000000 0
69 373.54194985 0.00390893 0.16922421 0.00000000 0
124 5327.59231001 0.00391172 0.15211120 0.00000000 0
138 7228.86271053 0.00391391 0.06675130 0.00000000 0
101 5290.83967428 0.00391005 0.08495050 0.00000000 0
54 959.86382051 0.00391142 0.18518519 0.00000000 0
31 24.93437377 0.00390580 0.21505376 0.00000000 0
118 3237.68062167 0.00391110 0.06489932 0.00000000 0
64 12669.83904430 0.00390928 0.17261905 0.00000000 0
51 721.99789681 0.00390791 0.19058824 0.00000000 0
11 453.44535818 0.00390527 0.25454545 0.00000000 0
26 352.93755596 0.00390580 0.08307692 0.00000000 0
1 0.00000000 0.00390224 0.00000000 0.00000000 0
8 0.00000000 0.00390361 0.10714286 0.00000000 0
4 0.00000000 0.00390267 0.00000000 0.00000000 0
49 1190.19657906 0.00390798 0.16921769 0.00000000 0
20 0.00000000 0.00390957 0.18947368 0.00000000 0
25 469.02462326 0.00391113 0.35000000 0.00000000 0
115 14704.75539580 0.00391073 0.03020595 0.00000000 0
17 0.00000000 0.00390659 0.11764706 0.00000000 0
49 931.63088398 0.00391183 0.15561224 0.00000000 218
6 0.00000000 0.00390296 0.00000000 0.00000000 0
158 48761.92392748 0.00391504 0.07320809 0.00000000 0
2 0.00000000 0.00390230 0.00000000 0.00000000 0
5 0.00000000 0.00390361 0.30000000 0.00000000 0
39 2227.59415522 0.00391171 0.14035088 0.00000000 216
151 22591.97673372 0.00391316 0.02799117 0.00000000 216
140 16079.61173390 0.00391357 0.04964029 0.00000000 218
179 18254.10897827 0.00391306 0.02284853 0.00000000 218
47 2418.15223491 0.00391214 0.11933395 0.00000000 218
93 4171.45635794 0.00391250 0.11173446 0.00000000 218
133 12537.64350644 0.00391324 0.04727728 0.00000000 216
92 8331.51716031 0.00391401 0.12326804 0.00000000 218
203 35244.42472484 0.00391696 0.04516412 0.00000000 216
189 33916.86164320 0.00391551 0.10019138 0.00000000 216
45 3513.27703752 0.00391406 0.15454545 0.00000000 216
79 10664.26658238 0.00391252 0.22849724 0.00000000 218
29 2696.55946588 0.00390830 0.02216749 0.00000000 220
57 12329.91613985 0.00391352 0.09586466 0.00000000 216
80 10632.11973486 0.00391480 0.08765823 0.00000000 216
88 12585.15480828 0.00391038 0.03918495 0.00000000 0
142 30177.11170759 0.00391400 0.09759265 0.00000000 218
80 12538.05541721 0.00391472 0.16518987 0.00000000 216
14 2951.74969748 0.00390965 0.06593407 0.00000000 216
110 19596.65452858 0.00391343 0.09758132 0.00000000 218
14 475.35031645 0.00391256 0.26373626 0.00000000 216
116 33226.09624750 0.00391336 0.10089955 0.00000000 218
18 1659.81217281 0.00390819 0.15032680 0.00000000 218
20 3920.86958959 0.00390846 0.19473684 0.00000000 216
103 31498.25250703 0.00391337 0.03731201 0.00000000 219
122 29991.94059668 0.00391316 0.06394797 0.00000000 218
61 18836.17567712 0.00391315 0.24043716 0.00000000 218
15 2171.12738325 0.00391102 0.50476190 0.00000000 216
151 85401.65125496 0.00391413 0.04847682 0.00000000 216
38 5927.37760250 0.00391083 0.07396871 0.00000000 216
148 103448.28592532 0.00391442 0.05166391 0.00000000 0
22 926.96149836 0.00390581 0.21212121 0.00000000 0
68 6696.04380042 0.00391195 0.17866550 0.00000000 0
49 15029.52405966 0.00391152 0.07312925 0.00000000 0
53 4392.44854962 0.00390823 0.26705370 0.00000000 0
112 18515.63583566 0.00391233 0.21476834 0.00000000 0
93 12330.93462081 0.00391305 0.17227676 0.00000000 0
85 11641.12047115 0.00390910 0.21120448 0.00000000 0
10 493.33993261 0.00390971 0.15555556 0.00000000 0
1 0.00000000 0.00390224 0.00000000 0.00000000 0
68 7863.83333682 0.00390830 0.25329236 0.00000000 0
13 0.00000000 0.00391007 0.58974359 0.00000000 0
48 702.75166213 0.00391040 0.25797872 0.00000000 0
125 23091.54060981 0.00391339 0.06219355 0.00000000 219
