Degree Betweenness Closeness Clustering Eigenvector Membership
10 2194.34128433 0.00949163 0.02222222 0.00000000 292
63 74375.49671810 0.00951901 0.00972862 0.00000000 119
16 0.00000000 0.00948884 0.06666667 0.00000000 19
4 24.24191937 0.00946005 0.00000000 0.00000000 222
36 5749.67714731 0.00950026 0.00952381 0.00000000 750
17 2439.74007098 0.00948117 0.04411765 0.00000000 738
5 0.00000000 0.00945456 0.00000000 0.00000000 6
12 6234.75537407 0.00948527 0.00000000 0.00000000 406
4 219.57944673 0.00944266 0.00000000 0.00000000 483
6 0.00000000 0.00946402 0.00000000 0.00000000 476
3 0.00000000 0.00945077 0.00000000 0.00000000 492
67 99409.49002199 0.00950680 0.01311624 0.00000000 149
12 631.89530962 0.00946654 0.00000000 0.00000000 118
32 56560.78395424 0.00952117 0.01612903 0.00000000 80
1 0.00000000 0.00943224 0.00000000 0.00000000 80
3 27.97106782 0.00944120 0.00000000 0.00000000 80
23 21554.40514434 0.00950629 0.01581028 0.00000000 597
61 63116.54363112 0.00950064 0.00109290 0.00000000 244
50 7790.13025189 0.00950877 0.02122449 0.00000000 629
8 69.99311383 0.00947414 0.21428571 0.00000000 25
10 12158.14313746 0.00946493 0.02222222 0.00000000 219
8 1235.51739744 0.00946232 0.03571429 0.00000000 51
12 0.00000000 0.00948912 0.01515152 0.00000000 51
47 19801.87720293 0.00951140 0.00647549 0.00000000 51
53 23527.08877433 0.00952087 0.01378810 0.00000000 460
3 0.00000000 0.00942078 0.00000000 0.00000000 238
14 169.57117286 0.00946937 0.01098901 0.00000000 783
3 733.33019714 0.00945074 0.00000000 0.00000000 371
14 10969.63509722 0.00952505 0.08791209 0.00000000 20
2 0.00000000 0.00940792 0.00000000 0.00000000 371
13 1556.20009621 0.00949895 0.28205128 0.00000000 42
9 373.86686423 0.00946533 0.55555556 0.00000000 42
44 32652.36831280 0.00950550 0.04862579 0.00000000 42
12 2117.55501440 0.00948631 0.50000000 0.00000000 42
35 28436.18456013 0.00951053 0.01680672 0.00000000 190
9 1.16666667 0.00944507 0.88888889 0.00000000 42
23 16521.59502759 0.00948344 0.15810277 0.00000000 42
10 276.69880952 0.00944544 0.71111111 0.00000000 42
5 0.00000000 0.00944220 0.00000000 0.00000000 246
13 5901.27129572 0.00950875 0.07692308 0.00000000 246
6 0.00000000 0.00947695 0.13333333 0.00000000 171
10 229.48587344 0.00947866 0.04444444 0.00000000 233
64 45321.14159262 0.00951622 0.01636905 0.00000000 147
13 1247.28507408 0.00948096 0.00000000 0.00000000 622
3 0.00000000 0.00940890 0.00000000 0.00000000 391
31 37462.52151830 0.00949829 0.01075269 0.00000000 192
10 292.21338713 0.00945978 0.02222222 0.00000000 96
49 20408.77657763 0.00951119 0.24914966 0.00000000 19
4 0.00000000 0.00944491 0.00000000 0.00000000 188
41 1647.29879396 0.00951196 0.19634146 0.00000000 9
9 44.73429167 0.00946139 0.02777778 0.00000000 15
27 36.77206405 0.00949355 0.58119658 0.00000000 9
48 72962.00940104 0.00952899 0.15336879 0.00000000 76
26 1103.94255289 0.00949365 0.53230769 0.00000000 19
104 148224.53974055 0.00954335 0.05489171 0.00000000 19
39 35861.06187187 0.00950505 0.21997301 0.00000000 19
21 24673.00304842 0.00948426 0.13333333 0.00000000 239
62 44377.28203527 0.00951926 0.13643575 0.00000000 19
26 15995.77873779 0.00950345 0.17538462 0.00000000 19
264 542169.96561278 0.00954188 0.00547298 0.00000000 48
70 112317.40684578 0.00951833 0.03850932 0.00000000 226
43 17500.76658737 0.00952350 0.32779623 0.00000000 526
2 0.00000000 0.00945783 1.00000000 0.00000000 19
44 23084.68838526 0.00951227 0.15221987 0.00000000 535
55 73808.63557919 0.00952471 0.17171717 0.00000000 636
36 24859.38190229 0.00950140 0.10158730 0.00000000 423
29 13756.17583644 0.00949362 0.19211823 0.00000000 468
44 13875.37015827 0.00950696 0.30443975 0.00000000 651
23 3524.08717126 0.00949413 0.41897233 0.00000000 19
18 1016.38441793 0.00947729 0.05228758 0.00000000 61
29 16389.42296539 0.00950925 0.08620690 0.00000000 406
29 11557.74045300 0.00949820 0.32758621 0.00000000 19
30 24127.65160838 0.00950978 0.27586207 0.00000000 473
5 202.08364188 0.00944958 0.10000000 0.00000000 109
29 2555.14049996 0.00950112 0.32758621 0.00000000 19
6 0.00000000 0.00947152 0.33333333 0.00000000 19
7 3970.83353966 0.00947503 0.00000000 0.00000000 490
27 4659.34854576 0.00952193 0.02279202 0.00000000 529
35 0.00000000 0.00951511 0.27563025 0.00000000 15
6 293.70967117 0.00951118 0.13333333 0.00000000 35
34 11053.41030874 0.00950702 0.00713012 0.00000000 35
26 0.00000000 0.00949486 0.00307692 0.00000000 96
1 0.00000000 0.00009521 0.00000000 0.00000000 836
1 0.00000000 0.00009521 0.00000000 0.00000000 836
38 6289.36646683 0.00949976 0.00142248 0.00000000 86
10 1050.62242161 0.00945058 0.00000000 0.00000000 330
39 34509.32092631 0.00950688 0.01619433 0.00000000 71
13 0.00000000 0.00946604 0.01282051 0.00000000 99
37 9308.45525530 0.00949850 0.03453453 0.00000000 6
28 6981.41763152 0.00949096 0.03968254 0.00000000 342
2 0.00000000 0.00945312 0.00000000 0.00000000 39
15 3896.87069641 0.00946286 0.00952381 0.00000000 555
30 46165.10725598 0.00948691 0.00459770 0.00000000 662
14 2737.41552213 0.00947034 0.02197802 0.00000000 30
4 13.11904762 0.00941903 0.00000000 0.00000000 96
11 1909.45721431 0.00948276 0.01818182 0.00000000 673
7 0.00000000 0.00945834 0.00000000 0.00000000 6
28 2689.13335051 0.00949083 0.02380952 0.00000000 128
1 0.00000000 0.00939357 0.00000000 0.00000000 277
26 13202.22854965 0.00948177 0.00000000 0.00000000 277
40 0.00000000 0.00950642 0.00384615 0.00000000 109
51 0.00000000 0.00951528 0.02509804 0.00000000 33
2 0.00000000 0.00943423 0.00000000 0.00000000 149
1 0.00000000 0.00941814 0.00000000 0.00000000 149
19 6030.71275195 0.00948182 0.01169591 0.00000000 482
24 8265.81845843 0.00948487 0.00724638 0.00000000 348
8 0.00000000 0.00949230 0.00000000 0.00000000 415
8 106.62666172 0.00943696 0.00000000 0.00000000 29
12 14696.59168666 0.00949997 0.03030303 0.00000000 282
27 12360.91905000 0.00949442 0.00569801 0.00000000 282
24 7036.86382251 0.00948899 0.00000000 0.00000000 310
54 93966.11737594 0.00951138 0.01467505 0.00000000 345
2 0.00000000 0.00941977 0.00000000 0.00000000 474
4 522.41236455 0.00945817 0.00000000 0.00000000 66
4 6.49120735 0.00944722 0.00000000 0.00000000 22
6 0.00000000 0.00948149 0.06666667 0.00000000 22
16 1079.70930667 0.00950572 0.03333333 0.00000000 147
14 6874.82409792 0.00951278 0.03296703 0.00000000 202
7 14.94667268 0.00943994 0.04761905 0.00000000 384
4 1243.82294952 0.00944508 0.00000000 0.00000000 119
13 2944.10933389 0.00947390 0.02564103 0.00000000 174
72 74443.87095260 0.00951705 0.01408451 0.00000000 303
3 207.77363259 0.00944382 0.00000000 0.00000000 72
51 38910.67623424 0.00950552 0.00862745 0.00000000 534
4 784.13927911 0.00945165 0.00000000 0.00000000 149
30 6273.88944153 0.00952241 0.01839080 0.00000000 552
12 7732.29934014 0.00946434 0.00000000 0.00000000 502
2 34.58315265 0.00942086 0.00000000 0.00000000 149
8 9937.13549318 0.00945291 0.00000000 0.00000000 567
25 17613.27435212 0.00949299 0.04333333 0.00000000 6
37 31331.02751664 0.00950317 0.01051051 0.00000000 311
14 15493.09141277 0.00948336 0.01098901 0.00000000 6
18 297.95297904 0.00948041 0.07189542 0.00000000 6
3 283.52596064 0.00943470 0.00000000 0.00000000 149
60 38462.23333753 0.00950935 0.09661017 0.00000000 6
1 0.00000000 0.00941814 0.00000000 0.00000000 149
26 6290.60951248 0.00952666 0.03076923 0.00000000 264
1 0.00000000 0.00940599 0.00000000 0.00000000 282
3 63.54433879 0.00944711 0.00000000 0.00000000 232
19 2655.61137877 0.00950752 0.01169591 0.00000000 232
1 0.00000000 0.00939743 0.00000000 0.00000000 127
34 26154.05051643 0.00948570 0.00000000 0.00000000 127
1 0.00000000 0.00942993 0.00000000 0.00000000 106
82 89003.61218155 0.00951881 0.01987353 0.00000000 106
8 414.22550540 0.00943987 0.00000000 0.00000000 734
3 0.00000000 0.00944707 0.00000000 0.00000000 734
161 155652.87573240 0.00953353 0.00442547 0.00000000 67
5 2333.03766864 0.00950180 0.30000000 0.00000000 67
31 36793.41260803 0.00950836 0.01505376 0.00000000 192
2 0.00000000 0.00941669 0.00000000 0.00000000 277
1 0.00000000 0.00939929 0.00000000 0.00000000 201
35 16513.05447079 0.00948759 0.00000000 0.00000000 201
36 9961.48371351 0.00949760 0.01746032 0.00000000 88
80 90779.13775726 0.00951168 0.02246835 0.00000000 6
1 0.00000000 0.00942293 0.00000000 0.00000000 6
28 2918.20568231 0.00949820 0.00529101 0.00000000 169
6 2624.16082353 0.00944529 0.13333333 0.00000000 263
47 39649.96590943 0.00950281 0.00925069 0.00000000 263
26 10785.80261282 0.00949618 0.01538462 0.00000000 556
11 20754.44553782 0.00945570 0.00000000 0.00000000 172
1 0.00000000 0.00936798 0.00000000 0.00000000 172
1 0.00000000 0.00936798 0.00000000 0.00000000 172
2 0.00000000 0.00943145 0.00000000 0.00000000 479
107 115907.99320673 0.00951547 0.00476107 0.00000000 22
6 0.00000000 0.00945236 0.00000000 0.00000000 675
1 0.00000000 0.00936471 0.00000000 0.00000000 675
4 0.00000000 0.00942320 0.00000000 0.00000000 172
5 891.83431891 0.00948708 0.10000000 0.00000000 172
17 26356.10286792 0.00949189 0.02205882 0.00000000 172
34 9716.48060936 0.00949069 0.00891266 0.00000000 479
18 5270.35239809 0.00947762 0.01307190 0.00000000 172
7 3080.07218581 0.00946204 0.09523810 0.00000000 263
2 17.62688105 0.00937592 0.00000000 0.00000000 172
35 17484.92162367 0.00950665 0.01848739 0.00000000 473
60 22089.71558617 0.00951846 0.00790960 0.00000000 686
16 5233.95592617 0.00949543 0.21666667 0.00000000 134
1 0.00000000 0.00940599 0.00000000 0.00000000 282
41 14166.03669561 0.00950350 0.04268293 0.00000000 12
63 64297.97885550 0.00952571 0.03020993 0.00000000 125
18 13594.84174528 0.00947107 0.00000000 0.00000000 195
5 0.00000000 0.00946599 0.10000000 0.00000000 254
36 33834.50073326 0.00950740 0.01746032 0.00000000 262
1 0.00000000 0.00941873 0.00000000 0.00000000 262
30 9856.94854826 0.00950094 0.02068966 0.00000000 591
29 35845.82062040 0.00949890 0.01231527 0.00000000 238
3 0.00000000 0.00947334 0.00000000 0.00000000 423
5 1229.31271358 0.00943373 0.00000000 0.00000000 282
8 2455.43212737 0.00946618 0.00000000 0.00000000 238
21 12368.93341558 0.00951396 0.04761905 0.00000000 254
59 39567.50889335 0.00950621 0.00409117 0.00000000 265
43 31459.26615838 0.00950247 0.01882614 0.00000000 115
34 0.00000000 0.00952028 0.04812834 0.00000000 728
49 0.00000000 0.00950555 0.01530612 0.00000000 8
4 1395.89061824 0.00945199 0.00000000 0.00000000 68
50 19951.30279713 0.00950483 0.00408163 0.00000000 68
1 0.00000000 0.00944466 0.00000000 0.00000000 10
102 0.00000000 0.00953382 0.00757135 0.00000000 10
5 0.00000000 0.00946523 0.20000000 0.00000000 214
51 57885.68128703 0.00952049 0.01490196 0.00000000 179
90 64240.41230449 0.00951501 0.00424469 0.00000000 132
20 2496.08595006 0.00949535 0.00526316 0.00000000 264
1 0.00000000 0.00943515 0.00000000 0.00000000 544
16 11914.65025650 0.00952413 0.09166667 0.00000000 544
2 0.00000000 0.00933489 0.00000000 0.00000000 327
4 0.00000000 0.00942196 0.00000000 0.00000000 327
8 2502.37238967 0.00945894 0.00000000 0.00000000 438
4 379.19734008 0.00943193 0.00000000 0.00000000 149
4 320.67139642 0.00940762 0.00000000 0.00000000 561
14 6186.88437947 0.00951368 0.06593407 0.00000000 112
38 5663.84619942 0.00949703 0.00426743 0.00000000 345
9 1222.22564047 0.00948452 0.02777778 0.00000000 372
74 25951.45763484 0.00951540 0.01851166 0.00000000 41
1 0.00000000 0.00940984 0.00000000 0.00000000 294
28 21563.32580075 0.00949834 0.02116402 0.00000000 294
13 513.49922065 0.00948114 0.08974359 0.00000000 92
14 984.30643183 0.00948619 0.01098901 0.00000000 96
4 26.58613056 0.00944744 0.00000000 0.00000000 423
27 5618.89872850 0.00949991 0.00854701 0.00000000 478
49 35385.69750356 0.00950428 0.00425170 0.00000000 465
9 4204.04354891 0.00945321 0.00000000 0.00000000 261
20 1608.40126692 0.00948352 0.12631579 0.00000000 93
27 8767.74780128 0.00949052 0.26210826 0.00000000 31
2 224.18590267 0.00944895 0.00000000 0.00000000 16
52 122487.02513164 0.00952950 0.03921569 0.00000000 43
5 0.00000000 0.00944574 0.00000000 0.00000000 423
25 6139.98585610 0.00948316 0.00333333 0.00000000 176
1 0.00000000 0.00941284 0.00000000 0.00000000 423
23 20317.03362730 0.00952466 0.05928854 0.00000000 146
9 1389.54024971 0.00946495 0.00000000 0.00000000 423
28 14780.55817820 0.00948079 0.00000000 0.00000000 337
12 1313.84430546 0.00947665 0.04545455 0.00000000 115
39 0.00000000 0.00951223 0.15924426 0.00000000 35
35 18901.05863688 0.00950719 0.02689076 0.00000000 746
5 1377.32383481 0.00946700 0.00000000 0.00000000 423
36 4686.44647350 0.00950352 0.22857143 0.00000000 31
7 0.00000000 0.00945860 0.00000000 0.00000000 468
15 691.73588326 0.00950299 0.04761905 0.00000000 389
29 4194.00865850 0.00949584 0.01477833 0.00000000 523
29 5619.17771136 0.00949377 0.02709360 0.00000000 529
9 0.00000000 0.00948192 0.05555556 0.00000000 344
65 2993.03016589 0.00950905 0.01105769 0.00000000 499
8 895.48784815 0.00948364 0.10714286 0.00000000 38
10 28.34975366 0.00945721 0.26666667 0.00000000 38
6 54.53571429 0.00942155 0.26666667 0.00000000 38
33 34699.32142958 0.00950332 0.01325758 0.00000000 183
7 803.35391328 0.00947075 0.14285714 0.00000000 69
40 32491.06482940 0.00950339 0.00897436 0.00000000 304
16 5486.26086400 0.00947649 0.03333333 0.00000000 436
37 10788.20562256 0.00949631 0.01201201 0.00000000 570
134 230253.24207896 0.00952270 0.00201998 0.00000000 81
25 1786.42633496 0.00948465 0.79000000 0.00000000 54
35 24127.40025086 0.00949451 0.48235294 0.00000000 54
7 1212.49402493 0.00947114 0.04761905 0.00000000 34
2 0.00000000 0.00939487 0.00000000 0.00000000 872
28 3628.65559671 0.00948308 0.01322751 0.00000000 26
13 25199.49041608 0.00947126 0.06410256 0.00000000 356
31 5921.88594219 0.00948601 0.02150538 0.00000000 22
36 0.00000000 0.00949353 0.38253968 0.00000000 54
18 9371.93256608 0.00949124 0.06535948 0.00000000 89
94 147343.98151954 0.00951794 0.00800732 0.00000000 208
5 1853.56251091 0.00943281 0.00000000 0.00000000 416
48 27542.56936559 0.00950096 0.24113475 0.00000000 54
55 77860.90949660 0.00952401 0.09629630 0.00000000 35
13 0.00000000 0.00948780 0.00000000 0.00000000 34
23 0.00000000 0.00949958 0.27272727 0.00000000 31
47 0.00000000 0.00951043 0.17761332 0.00000000 15
37 899.45649463 0.00951005 0.01351351 0.00000000 26
38 2377.68450705 0.00949847 0.42816501 0.00000000 54
43 5184.81659367 0.00950973 0.05094131 0.00000000 96
26 784.23911329 0.00948267 0.80307692 0.00000000 54
22 4210.83877537 0.00952373 0.22943723 0.00000000 35
30 11360.48699859 0.00949619 0.03678161 0.00000000 124
31 13678.48844134 0.00949289 0.47526882 0.00000000 54
70 45147.11061699 0.00953198 0.02194617 0.00000000 78
24 9837.87464161 0.00949970 0.00724638 0.00000000 47
65 62003.02514011 0.00951091 0.00625000 0.00000000 110
55 44861.93493189 0.00951691 0.12727273 0.00000000 31
25 2844.99018833 0.00950948 0.18666667 0.00000000 35
24 4682.27303671 0.00949917 0.16666667 0.00000000 400
33 9780.05102534 0.00950519 0.11931818 0.00000000 31
35 33743.68097135 0.00951909 0.11428571 0.00000000 35
37 22145.57934893 0.00949069 0.00750751 0.00000000 35
19 30482.40468678 0.00951159 0.19883041 0.00000000 35
51 53509.54437130 0.00951896 0.16784314 0.00000000 15
56 81522.02829535 0.00952985 0.09935065 0.00000000 74
47 19867.18784437 0.00950087 0.04347826 0.00000000 6
28 13979.07352471 0.00950617 0.16931217 0.00000000 31
10 954.16628080 0.00947240 0.46666667 0.00000000 54
19 4509.49026094 0.00949781 0.40935673 0.00000000 31
3 183.26570050 0.00944485 0.00000000 0.00000000 35
15 15371.76958934 0.00949408 0.02857143 0.00000000 201
26 19884.78300851 0.00950956 0.13538462 0.00000000 240
46 39969.42732156 0.00950188 0.18550725 0.00000000 54
29 20023.40405316 0.00949651 0.00738916 0.00000000 359
48 50586.89186866 0.00951635 0.01950355 0.00000000 322
39 20620.14632128 0.00949994 0.35357625 0.00000000 54
39 27691.84720922 0.00949806 0.00944669 0.00000000 291
26 6464.21603460 0.00949486 0.23692308 0.00000000 31
51 14379.67496156 0.00949734 0.00627451 0.00000000 115
46 26192.07505624 0.00951021 0.00193237 0.00000000 258
26 5304.23554934 0.00948469 0.21846154 0.00000000 31
32 21252.23422351 0.00949621 0.00604839 0.00000000 361
15 1345.82121166 0.00947627 0.36190476 0.00000000 31
16 97.99441229 0.00948278 0.40000000 0.00000000 35
4 0.00000000 0.00945194 0.16666667 0.00000000 400
28 107.09081737 0.00948685 0.74603175 0.00000000 54
9 0.00000000 0.00945835 0.33333333 0.00000000 31
24 3526.55260174 0.00949263 0.00724638 0.00000000 647
35 6974.40240548 0.00949220 0.47731092 0.00000000 54
11 1327.06950455 0.00948513 0.12727273 0.00000000 417
9 0.00000000 0.00948392 0.00000000 0.00000000 5
96 60044.97106119 0.00951632 0.00570175 0.00000000 271
55 41474.17579357 0.00950399 0.17508418 0.00000000 442
9 1355.00000000 0.00946733 0.00000000 0.00000000 156
3 0.00000000 0.00943124 0.00000000 0.00000000 687
10 1685.32799927 0.00944051 0.00000000 0.00000000 687
1 0.00000000 0.00941236 0.00000000 0.00000000 12
38 10109.40393544 0.00950091 0.04694168 0.00000000 12
16 2553.27241715 0.00946098 0.00000000 0.00000000 401
6 0.00000000 0.00948027 0.00000000 0.00000000 5
6 1275.12896825 0.00943331 0.00000000 0.00000000 440
11 1089.64160662 0.00947930 0.14545455 0.00000000 61
9 0.00000000 0.00950261 0.13888889 0.00000000 0
17 2239.82121608 0.00947928 0.11029412 0.00000000 12
7 445.09979370 0.00948105 0.19047619 0.00000000 21
14 8097.14492753 0.00949558 0.01098901 0.00000000 5
17 0.00000000 0.00949202 0.00735294 0.00000000 57
59 6718.76820072 0.00951886 0.01578025 0.00000000 8
53 5971.36317352 0.00949759 0.00362845 0.00000000 14
7 0.00000000 0.00945804 0.00000000 0.00000000 358
7 1691.57007557 0.00945486 0.00000000 0.00000000 328
11 0.00000000 0.00946970 0.03636364 0.00000000 328
30 24239.08838575 0.00949776 0.00000000 0.00000000 341
40 3227.66189294 0.00949773 0.00256410 0.00000000 566
22 99.22254099 0.00949632 0.87445887 0.00000000 54
12 4655.34196476 0.00943517 0.00000000 0.00000000 589
24 6.06222608 0.00948218 0.87318841 0.00000000 54
115 33517.09242067 0.00953642 0.04958047 0.00000000 54
32 665.27702647 0.00949593 0.58870968 0.00000000 54
26 2142.55171410 0.00948444 0.78153846 0.00000000 54
30 272.27195788 0.00948892 0.00459770 0.00000000 6
3 1.87120799 0.00944785 0.00000000 0.00000000 30
62 27170.42456607 0.00951754 0.00951877 0.00000000 455
1 0.00000000 0.00942868 0.00000000 0.00000000 455
27 7.00329589 0.00948426 0.78632479 0.00000000 54
52 0.00000000 0.00950141 0.19909502 0.00000000 54
63 36284.83186139 0.00952784 0.04864311 0.00000000 24
64 6391.89624316 0.00950214 0.00446429 0.00000000 30
30 5229.37066822 0.00949287 0.01609195 0.00000000 32
2 106.09523579 0.00942858 0.00000000 0.00000000 35
1 0.00000000 0.00945401 0.00000000 0.00000000 19
