Degree Betweenness Closeness Clustering Eigenvector Membership
156 54777.22323318 0.00444499 0.01323408 0.00000000 0
1 0.00000000 0.00442610 0.00000000 0.00000000 0
9 1642.92571582 0.00443356 0.25000000 0.00000000 0
1 0.00000000 0.00441494 0.00000000 0.00000000 114
30 6202.94647570 0.00443372 0.00000000 0.00000000 114
2 0.00000000 0.00442667 0.00000000 0.00000000 0
7 4502.13431308 0.00443497 0.04761905 0.00000000 0
15 973.78202527 0.00443070 0.27619048 0.00000000 113
224 112295.14713782 0.00444255 0.05088885 0.00000000 113
13 2542.62766857 0.00443812 0.12820513 0.00000000 0
87 11206.58016813 0.00444239 0.00935579 0.00000000 0
4 0.00000000 0.00442918 0.00000000 0.00000000 0
2 0.00000000 0.00442737 0.00000000 0.00000000 0
29 1410.10584851 0.00443481 0.01477833 0.00000000 0
18 0.00000000 0.00443594 0.00000000 0.00000000 115
3 0.00000000 0.00442775 0.33333333 0.00000000 0
13 489.60413054 0.00443748 0.14102564 0.00000000 0
5 0.00000000 0.00443167 0.10000000 0.00000000 116
1 0.00000000 0.00442610 0.00000000 0.00000000 0
12 66.76093806 0.00442894 0.33333333 0.00000000 113
6 0.00000000 0.00442689 0.06666667 0.00000000 113
60 908.15653467 0.00444024 0.13333333 0.00000000 113
40 12510.88845939 0.00443998 0.06153846 0.00000000 113
3 0.00000000 0.00442365 0.66666667 0.00000000 113
77 13594.97382336 0.00443894 0.11141490 0.00000000 113
19 12097.53035120 0.00443775 0.24561404 0.00000000 113
18 4124.50996700 0.00443748 0.07843137 0.00000000 115
10 0.00000000 0.00441526 0.64444444 0.00000000 122
8 94.00952381 0.00441517 0.67857143 0.00000000 122
2 0.00000000 0.00440922 0.00000000 0.00000000 118
14 0.00000000 0.00442795 0.01098901 0.00000000 118
58 11255.28684976 0.00443794 0.16999395 0.00000000 113
81 11400.48864018 0.00443817 0.12191358 0.00000000 113
22 11510.68922141 0.00442365 0.12987013 0.00000000 122
13 515.99426407 0.00442820 0.38461538 0.00000000 122
6 199.95476190 0.00441421 0.60000000 0.00000000 122
4 0.00000000 0.00441171 1.00000000 0.00000000 122
5 0.00000000 0.00441172 0.90000000 0.00000000 122
20 7104.94704691 0.00442779 0.10526316 0.00000000 122
15 499.10317460 0.00442418 0.18095238 0.00000000 122
45 17743.77287706 0.00443904 0.01818182 0.00000000 116
4 0.00000000 0.00442860 0.33333333 0.00000000 116
3 0.00000000 0.00442169 0.00000000 0.00000000 116
9 973.41497983 0.00443073 0.00000000 0.00000000 117
47 0.00000000 0.00443585 0.00185014 0.00000000 115
14 836.67618770 0.00442771 0.04395604 0.00000000 116
176 66917.89274397 0.00444597 0.00675325 0.00000000 115
14 1662.54399677 0.00442877 0.00000000 0.00000000 116
17 3092.11522529 0.00442925 0.01470588 0.00000000 118
2 0.00000000 0.00442377 0.00000000 0.00000000 116
11 642.60095912 0.00443608 0.12727273 0.00000000 0
6 330.83333333 0.00442655 0.06666667 0.00000000 116
86 5207.70815426 0.00444301 0.04842681 0.00000000 113
4 0.00000000 0.00442989 0.16666667 0.00000000 115
27 7992.46380979 0.00443331 0.01709402 0.00000000 0
1 0.00000000 0.00441452 0.00000000 0.00000000 0
4 0.00000000 0.00441966 0.00000000 0.00000000 0
44 10142.61156839 0.00443715 0.02642706 0.00000000 0
8 2056.15181713 0.00442395 0.00000000 0.00000000 0
12 1518.15598450 0.00443040 0.09090909 0.00000000 0
7 4253.57960710 0.00442461 0.00000000 0.00000000 119
35 8000.62999703 0.00443391 0.24201681 0.00000000 113
20 4698.23598698 0.00443344 0.03157895 0.00000000 0
20 2410.54146707 0.00443096 0.00526316 0.00000000 0
4 0.00000000 0.00442220 0.00000000 0.00000000 116
