Degree Betweenness Closeness Clustering Eigenvector Membership
565 827394.80803107 0.03545229 0.02159041 0.08312704 0
534 634592.73019899 0.03543875 0.01790445 0.06807000 0
447 271578.74014181 0.03542811 0.03861318 0.00836679 15
299 299051.15062093 0.03538683 0.03099818 0.04262499 0
506 582259.25736759 0.03540163 0.02472508 0.07469466 0
948 1470666.49961833 0.03554109 0.02126190 0.12465141 0
276 323021.74667976 0.03527356 0.02287220 0.03799652 16
146 166307.32651138 0.03527467 0.05054322 0.04140335 16
2 0.00000000 0.03410566 0.00000000 0.00057187 16
135 107183.10997199 0.03528786 0.02642344 0.03240226 15
35 6672.14869770 0.03443155 0.02016807 0.00418016 15
442 553118.61848625 0.03538081 0.02093145 0.06654006 15
16 23612.52903540 0.03515846 0.03333333 0.01211757 13
8 6746.00850405 0.03451691 0.00000000 0.00200444 13
478 468536.50590343 0.03538957 0.03309562 0.04006745 14
52 13743.85916244 0.03519913 0.12895928 0.01445524 0
95 52778.16053720 0.03474613 0.01187010 0.01298852 18
329 369705.63717945 0.03511559 0.01601305 0.02046364 14
84 14275.78938536 0.03523296 0.13281698 0.01867351 14
106 76493.86790082 0.03528051 0.03360288 0.02256204 13
215 274768.64690003 0.03538724 0.06211693 0.04553325 14
108 25469.28067100 0.03475900 0.01938387 0.01648374 15
45 49106.27616403 0.03527052 0.04747475 0.02731164 17
50 32641.89229898 0.03523041 0.13469388 0.02444683 0
3440 13807587.18310672 0.03564190 0.00142061 0.12271771 13
28 14984.30840760 0.03524595 0.05820106 0.01708326 13
95 6452.47390758 0.03531785 0.36058231 0.06286154 18
866 1008314.97927140 0.03548168 0.01794444 0.11647815 16
44 14136.13888762 0.03529817 0.09090909 0.02352079 13
24 9532.36132648 0.03515854 0.09782609 0.01262546 13
17 472.28924130 0.03418970 0.08823529 0.00145425 13
4 219.71157410 0.03448657 0.16666667 0.00115624 14
2677 12013904.37897755 0.03564003 0.00229855 0.07118453 13
45 14094.58779024 0.03519054 0.04747475 0.02441536 18
323 196045.45301483 0.03539367 0.04949714 0.08827591 14
49 9153.08191019 0.03528306 0.15476190 0.02797469 18
122 40532.34495602 0.03522276 0.03766427 0.02912842 18
107 90496.86728980 0.03526206 0.07053430 0.02861215 18
190 94495.54430685 0.03544447 0.08098023 0.08294521 14
33 4326.22407435 0.03517855 0.06060606 0.01787142 13
93 29740.28004558 0.03527827 0.04184198 0.03172618 15
90 75863.04022478 0.03522555 0.03320849 0.01936825 13
18 866.19925871 0.03416804 0.01307190 0.00095967 13
872 474610.79222612 0.03526062 0.00968780 0.09151123 14
88 9541.09070291 0.03528634 0.16588297 0.04365402 14
105 33789.53514606 0.03524667 0.04523810 0.03281211 14
270 155671.64641781 0.03528402 0.02365414 0.05605885 14
14650 136689999.76519698 0.03642165 0.00104988 1.00000000 13
56 8206.80075402 0.03522451 0.07402597 0.02247673 14
93 36757.75016601 0.03530633 0.15497896 0.05230392 14
107 54616.12920971 0.03531633 0.20701816 0.06254977 18
2 0.00000000 0.03419068 0.00000000 0.00077897 15
521 1142593.83220967 0.03539889 0.01598996 0.07258798 15
16 14821.81194780 0.03461998 0.05000000 0.00542235 15
185 100442.10730981 0.03527188 0.03072855 0.04542025 15
150 46671.20125413 0.03539005 0.09306488 0.02215477 14
71 30204.92282001 0.03525911 0.08169014 0.02081140 14
8 2913.85935792 0.03520867 0.07142857 0.01229478 13
4 60.28689199 0.03515418 0.16666667 0.01077299 13
927 792655.11674609 0.03540742 0.02057311 0.15342408 14
148 28571.30809907 0.03541225 0.20150763 0.07134753 14
184 125688.61493605 0.03529745 0.02809456 0.04507782 19
330 266683.77035825 0.03542884 0.04259003 0.10004834 20
845 1216250.61194466 0.03539423 0.01116408 0.15413716 14
15 0.00000000 0.03518895 0.20000000 0.01972712 19
185 89679.03738827 0.03534020 0.05622797 0.05659363 14
714 798735.93152570 0.03548257 0.02722548 0.06587267 14
127 62839.10481811 0.03529369 0.06211724 0.03775633 13
130 93376.98075663 0.03527891 0.06642815 0.03974374 15
37 24557.82894646 0.03517370 0.09909910 0.01886926 16
106 32554.23878557 0.03529593 0.07816712 0.03580141 16
33 51325.80781748 0.03434041 0.00378788 0.00331736 14
59 35761.33736705 0.03526629 0.05493863 0.02208498 13
241 187642.62593473 0.03538105 0.03665284 0.04670816 15
78 25894.75927641 0.03528170 0.13286713 0.03725627 0
23 5702.24643956 0.03443695 0.02371542 0.00526628 20
27 1366.58558949 0.03430631 0.02279202 0.00179568 16
35 1679.57184623 0.03520072 0.13109244 0.01765868 13
83 37134.67102186 0.03522459 0.08433735 0.02788250 0
48 69725.78049653 0.03523089 0.02127660 0.01486109 13
15 2475.86509033 0.03423305 0.02857143 0.00083823 13
665 271629.13514900 0.03536555 0.02233898 0.11752598 0
49 12673.37284646 0.03526757 0.14880952 0.02784048 0
2 0.00000000 0.03441558 0.00000000 0.00076391 13
19 371.06702007 0.03517045 0.19298246 0.01452009 18
39 16643.78024364 0.03530081 0.07017544 0.02026575 18
634 443928.80815036 0.03542795 0.01932613 0.13076197 18
116 23108.09798086 0.03533820 0.11979010 0.05772466 18
42 4527.30592287 0.03444624 0.01742160 0.00833725 20
82 35643.21863557 0.03527451 0.04456489 0.03311743 14
516 330951.15459240 0.03533571 0.01463084 0.07838006 14
161 56072.91677221 0.03531953 0.19736025 0.07744917 18
214 244093.09584532 0.03535464 0.06480628 0.06675807 18
123 99269.82577539 0.03529217 0.09049713 0.05256719 18
89 25464.95195914 0.03519889 0.06664964 0.03947745 18
23 949.28673882 0.03517013 0.09486166 0.01797076 13
49 67714.47899556 0.03516029 0.03146259 0.01800628 13
68 11112.25504038 0.03519293 0.08252853 0.02206962 18
62 6542.43860407 0.03521488 0.07456372 0.03003817 15
107 54273.33983475 0.03525560 0.04267325 0.03734185 15
