Degree Betweenness Closeness Clustering Eigenvector Membership
17 10990.83262272 0.00732772 0.00000000 0.12089548 0
1 0.00000000 0.00728117 0.00000000 0.01080489 0
3 799.00000000 0.00727618 0.00000000 0.00746132 62
1 0.00000000 0.00723027 0.00000000 0.00066685 62
2 0.00000000 0.00729653 0.00000000 0.01450779 65
55 48599.81559940 0.00734328 0.00000000 0.16232717 65
2 0.00000000 0.00726019 0.00000000 0.00228326 70
16 7879.83665860 0.00730648 0.00000000 0.02554730 70
9 4340.68414787 0.00731074 0.00000000 0.01909198 0
66 45547.00778536 0.00732465 0.00000000 0.12263325 0
14 5119.15344373 0.00729861 0.00000000 0.02961603 0
1 0.00000000 0.00720075 0.00000000 0.00000000 62
9 11162.00000000 0.00724628 0.00000000 0.00116516 62
27 21991.47285929 0.00727960 0.00000000 0.00591870 68
1 0.00000000 0.00723366 0.00000000 0.00052898 68
12 9118.06114620 0.00733355 0.00000000 0.14029824 0
12 5703.56514143 0.00729425 0.00000000 0.00275402 68
1 0.00000000 0.00095147 0.00000000 0.00000000 1
1 0.00000000 0.00095147 0.00000000 0.00000000 1
2 0.00000000 0.00726019 0.00000000 0.00228326 70
4 988.84901947 0.00727890 0.00000000 0.00594902 68
15 6749.13059701 0.00732246 0.00000000 0.06550273 63
23 9756.44409608 0.00731680 0.00000000 0.05118878 64
2 0.00000000 0.00726019 0.00000000 0.00228326 70
77 76254.77010752 0.00735140 0.00000000 0.26078967 61
2 0.00000000 0.00730455 0.00000000 0.02330776 61
11 3805.59771032 0.00728192 0.00000000 0.00976880 70
2 0.00000000 0.00726441 0.00000000 0.00170632 0
28 14625.66874429 0.00734000 0.00000000 0.19964146 63
15 13715.05031872 0.00734749 0.00000000 0.19590145 76
9 1869.16967425 0.00731782 0.00000000 0.08871454 78
3 56.94630592 0.00727160 0.00000000 0.00792875 78
11 4906.85875556 0.00731792 0.00000000 0.08942887 78
11 7560.87226908 0.00732711 0.00000000 0.09258064 77
2 0.00000000 0.00728026 0.00000000 0.00768862 82
20 22318.54048090 0.00732680 0.00000000 0.08602773 82
2 0.00000000 0.00726019 0.00000000 0.00228326 70
41 49123.29238199 0.00735850 0.00000000 0.34086627 64
2 0.00000000 0.00727597 0.00000000 0.00585423 63
25 11089.10357364 0.00730917 0.00000000 0.08652591 0
2 0.00000000 0.00095147 0.00000000 0.00000000 2
2 0.00000000 0.00095147 0.00000000 0.00000000 2
4 1602.00000000 0.00722252 0.00000000 0.00028965 73
2 0.00000000 0.00717729 0.00000000 0.00002589 73
13 2550.89570551 0.00730500 0.00000000 0.06088548 63
16 9352.69392030 0.00732241 0.00000000 0.04377414 65
42 837.00000000 0.00726692 0.00000000 0.00000000 62
1 0.00000000 0.00722113 0.00000000 0.00000000 62
2 0.00000000 0.00728026 0.00000000 0.00768862 82
5 3246.23069931 0.00726823 0.00000000 0.00321496 73
10 5536.88142698 0.00733252 0.00000000 0.11756794 0
2 0.00000000 0.00718805 0.00000000 0.00000000 74
8 3244.00000000 0.00723341 0.00000000 0.00000000 74
7 2019.63923591 0.00728263 0.00000000 0.00445109 70
24 16331.27394036 0.00728920 0.00000000 0.00943540 68
2 0.00000000 0.00724313 0.00000000 0.00084328 68
2 297.79090888 0.00732425 0.00000000 0.08937378 76
14 6731.13817575 0.00732915 0.00000000 0.12472577 0
7 1725.03263744 0.00730576 0.00000000 0.04070886 76
7 3015.65233081 0.00732241 0.00000000 0.09376102 76
19 17487.03965851 0.00735027 0.00000000 0.23336492 76
2 0.00000000 0.00724313 0.00000000 0.00084328 68
2 0.00000000 0.00723336 0.00000000 0.00056897 68
6 3202.00000000 0.00727930 0.00000000 0.00636615 68
7 1109.51786801 0.00728975 0.00000000 0.01779368 88
4 376.38883640 0.00732057 0.00000000 0.08738004 80
12 8692.69937146 0.00732465 0.00000000 0.09276929 88
2 0.00000000 0.00729183 0.00000000 0.02302379 63
1 0.00000000 0.00727592 0.00000000 0.00000000 76
8 3296.05808484 0.00728889 0.00000000 0.02156730 0
2 0.00000000 0.00724283 0.00000000 0.00192755 0
6 2147.21267246 0.00728697 0.00000000 0.01894356 0
2 0.00000000 0.00725949 0.00000000 0.00363831 62
6 235.43801786 0.00730729 0.00000000 0.03458466 87
12 6751.71124674 0.00734503 0.00000000 0.20506966 87
1 0.00000000 0.00723366 0.00000000 0.00052898 68
8 4306.26851357 0.00730028 0.00000000 0.00936898 68
13 7454.26861365 0.00732516 0.00000000 0.08773081 79
6 492.82000531 0.00727265 0.00000000 0.00490894 68
15 6986.67770229 0.00733079 0.00000000 0.09163707 79
1 0.00000000 0.00725874 0.00000000 0.00000000 63
15 6658.89365565 0.00733723 0.00000000 0.12101140 87
4 0.50000000 0.00725483 0.00000000 0.00638209 63
8 1681.23726449 0.00730094 0.00000000 0.03570450 63
8 1681.23726449 0.00730094 0.00000000 0.03570450 63
6 444.80754400 0.00728874 0.00000000 0.01646952 87
15 3573.01303245 0.00730592 0.00000000 0.05375093 87
2 0.00000000 0.00730455 0.00000000 0.02330776 61
