Degree Betweenness Closeness Clustering Eigenvector Membership
31 41691.21505884 0.00345179 0.00215054 0.00209245 0
8 0.00000000 0.00344560 0.00000000 0.00252959 127
3 0.00000000 0.00344379 0.00000000 0.00052842 127
5 0.00000000 0.00345397 0.00000000 0.00764699 0
5 0.00000000 0.00344455 0.00000000 0.00238079 127
5 0.00000000 0.00344471 0.00000000 0.00059761 127
16 91219.32367754 0.00345248 0.06666667 0.02128399 127
14 0.00000000 0.00345538 0.08791209 0.00905463 0
7 0.00000000 0.00344568 0.00000000 0.00628517 127
59 551223.62380789 0.00345602 0.01987142 0.17072733 0
18 26412.95570582 0.00345001 0.00000000 0.00290468 127
8 1873.35513868 0.00345444 0.00000000 0.00972778 0
4 0.00000000 0.00344381 0.00000000 0.00052842 127
7 0.00000000 0.00344497 0.00000000 0.00067723 127
7 11479.91553189 0.00345341 0.04761905 0.00639859 0
2 0.00000000 0.00344116 0.00000000 0.00204613 0
8 387.05069106 0.00344607 0.25000000 0.00132665 127
10 970.58376858 0.00345432 0.13333333 0.04014146 0
15 113493.72393896 0.00345238 0.02857143 0.04956546 0
6 0.00000000 0.00344507 0.00000000 0.00112998 127
6 0.00000000 0.00344488 0.00000000 0.00052842 127
3 0.00000000 0.00344439 0.00000000 0.00059761 127
4 0.00000000 0.00344954 0.00000000 0.00443999 0
2 0.00000000 0.00344294 0.00000000 0.00034258 127
2 0.00000000 0.00344294 0.00000000 0.00034258 127
60 95629.30750346 0.00345406 0.00112994 0.00117784 0
39 180523.19928988 0.00345495 0.03373819 0.05044146 0
73 376359.56370524 0.00345684 0.00837139 0.18284514 0
28 78414.91473989 0.00345199 0.00793651 0.02000332 0
6 0.00000000 0.00345388 0.00000000 0.00913017 0
2 0.00000000 0.00344311 0.00000000 0.00200117 127
1 0.00000000 0.00344040 0.00000000 0.00185236 0
8 21542.03849588 0.00345319 0.03571429 0.16040554 0
47 35419.12635561 0.00345193 0.00185014 0.00085976 0
1 0.00000000 0.00344034 0.00000000 0.00007962 127
4 3008.00000000 0.00344437 0.00000000 0.00033465 127
1 0.00000000 0.00344034 0.00000000 0.00007962 127
4 0.00000000 0.00345278 0.00000000 0.09814866 0
3 0.00000000 0.00344295 0.00000000 0.00007962 127
9 0.00000000 0.00344849 0.02777778 0.00304045 127
1 0.00000000 0.00344034 0.00000000 0.00007962 127
1 0.00000000 0.00344034 0.00000000 0.00007962 127
4 0.00000000 0.00344379 0.00000000 0.00185265 127
3 0.00000000 0.00344436 0.00000000 0.00033465 127
3 0.00000000 0.00344389 0.00000000 0.00033465 127
8 9732.56804933 0.00345172 0.14285714 0.02030962 0
11 2823.09349591 0.00344935 0.01818182 0.00622229 127
2 0.00000000 0.00344345 0.00000000 0.00033465 127
2 0.00000000 0.00344345 0.00000000 0.00033465 127
1 0.00000000 0.00344034 0.00000000 0.00007962 127
5 1325.69064963 0.00344432 0.00000000 0.00259440 127
4 0.00000000 0.00344391 0.00000000 0.00033465 127
9 246.04001224 0.00344838 0.00000000 0.03357825 0
4 0.00000000 0.00344434 0.00000000 0.00048346 127
38 125970.25924683 0.00345413 0.02560455 0.02809633 0
20 128849.52683911 0.00345401 0.01052632 0.04278348 0
7 10353.42138734 0.00344919 0.04761905 0.00065424 127
2 0.00000000 0.00344844 0.00000000 0.02805032 0
10 79.82316639 0.00345339 0.00000000 0.02484560 127
5 0.00000000 0.00344955 0.10000000 0.01331359 0
13 6679.60475572 0.00345776 0.05128205 0.02710840 0
1 0.00000000 0.00344034 0.00000000 0.00007962 127
3 222.01034018 0.00344401 0.00000000 0.00022843 127
2 1575.80261108 0.00344185 0.00000000 0.00011913 0
112 202960.23182448 0.00345402 0.00096525 0.00275410 127
4 0.00000000 0.00344440 0.00000000 0.00025504 127
6 1069.22745036 0.00344675 0.20000000 0.00142897 127
5 0.00000000 0.00345035 0.00000000 0.00317861 127
3 0.00000000 0.00345208 0.00000000 0.00900981 0
2 106.35983655 0.00344767 0.00000000 0.00025504 0
