Degree Betweenness Closeness Clustering Eigenvector Membership
585 2545.05317581 0.55148952 0.17380283 0.83096092 0
605 2729.33324876 0.55250553 0.16877566 0.87250244 0
603 2734.51267442 0.55270918 0.17093381 0.83865780 1
605 2765.78160427 0.55321896 0.17252477 0.86521631 1
593 2625.34095779 0.55179393 0.17139146 0.82795132 0
615 2830.75205188 0.55444629 0.17408967 0.87453842 0
630 2969.49338151 0.55516475 0.17048477 0.88092891 0
626 2965.42163392 0.55434381 0.16685495 0.87898692 1
594 2629.10222163 0.55199706 0.17170582 0.92812342 1
591 2616.84261841 0.55108416 0.16888927 0.83046936 0
578 2520.60699610 0.55047724 0.17203888 0.83809881 1
570 2440.52577920 0.55027523 0.17451978 0.75477087 0
596 2662.57027365 0.55321896 0.17945970 0.91447154 0
590 2605.84651338 0.55128676 0.17009007 0.83282969 1
644 3114.82776299 0.55681396 0.17179757 0.91950653 1
575 2458.57382104 0.55027523 0.17322830 0.81881327 0
629 2943.11700953 0.55475398 0.16760503 0.92558772 0
605 2758.52495416 0.55291298 0.17132615 0.84732424 0
589 2603.85211017 0.55159095 0.17263204 0.78565841 0
630 2990.65574016 0.55454882 0.16549827 0.88407134 1
626 2935.52540537 0.55454882 0.16810735 0.90503024 0
641 3080.61090951 0.55660728 0.17221139 0.90218335 0
596 2653.31035754 0.55209867 0.17080255 0.82151494 1
588 2583.40170485 0.55088170 0.16961606 0.79464783 0
626 2953.33841100 0.55454882 0.16908882 0.87954612 1
575 2466.66953646 0.55007337 0.17135586 0.81407634 0
600 2697.47268573 0.55250553 0.17084029 0.84635514 1
542 2195.02322641 0.54666424 0.16926424 0.70979242 1
616 2874.07462787 0.55362747 0.16774892 0.87260421 0
604 2739.61800489 0.55281106 0.16999440 0.89106998 1
596 2650.06496294 0.55332103 0.17896904 0.82768993 0
634 3022.09532331 0.55609123 0.17209622 0.91414566 0
609 2768.98532964 0.55342314 0.17157657 0.81799103 0
586 2603.25120796 0.55108416 0.17051428 0.83984251 0
606 2772.54087823 0.55270918 0.16845321 0.92436162 1
603 2721.92368317 0.55291298 0.17217346 0.83593729 1
641 3063.49404993 0.55671060 0.17304505 0.84610731 1
586 2566.38707763 0.55108416 0.17140690 0.80832015 0
653 3195.38810844 0.55671060 0.16608104 0.90281697 0
579 2522.13900839 0.55108416 0.17432514 0.80900674 1
610 2800.88675223 0.55352529 0.17212846 0.86827941 1
597 2665.29501465 0.55169242 0.16801569 0.86757261 1
601 2696.23353732 0.55260733 0.17136994 0.88867588 1
606 2736.38926602 0.55332103 0.17368464 0.87950400 1
634 3006.09597395 0.55609123 0.17409462 0.89341286 0
602 2696.44997167 0.55189547 0.16698636 0.86447890 0
624 2929.40241367 0.55516475 0.17230522 0.90546235 1
590 2612.30353537 0.55199706 0.17482087 0.81977968 1
616 2825.06265026 0.55383195 0.17113293 0.92598142 0
558 2342.76400700 0.54846379 0.17119361 0.79097838 1
584 2560.66653089 0.55138812 0.17421110 0.83724737 1
634 3023.06337190 0.55609123 0.17210619 0.88173386 0
600 2708.88482491 0.55220033 0.16972732 0.81859826 1
615 2832.13785214 0.55393424 0.17069993 0.89535559 0
680 3440.26767072 0.55972378 0.17000780 0.91931714 0
551 2257.10287795 0.54846379 0.17692130 0.75057662 0
597 2700.17451799 0.55169242 0.16577856 0.85234267 1
584 2575.31210418 0.55047724 0.16904767 0.82602435 1
617 2859.08361783 0.55372969 0.16965207 0.90037119 1
591 2623.75309829 0.55138812 0.16949153 0.82315859 1
646 3135.06365678 0.55681396 0.17138263 0.95674297 1
587 2571.58609600 0.55047724 0.16796809 0.85283511 0
585 2567.26755091 0.55078053 0.17067088 0.84950366 1
595 2654.62972184 0.55240376 0.17408822 0.84592796 0
588 2580.17161725 0.55169242 0.17393295 0.77886677 1
635 3036.41498086 0.55609123 0.17275143 0.89430977 1
594 2646.33367013 0.55159095 0.16972422 0.86771489 1
610 2793.05074747 0.55424136 0.17549328 0.80973500 1
594 2645.19195773 0.55169242 0.17039990 0.83208478 0
604 2720.52162532 0.55291298 0.17135075 0.84935158 0
599 2692.89370955 0.55148952 0.16571097 0.84416317 0
602 2714.19430759 0.55250553 0.16864473 0.84378729 1
616 2817.94477955 0.55372969 0.16983951 0.79882649 1
609 2804.75494967 0.55301494 0.16833031 0.85838858 0
641 3113.94715890 0.55619436 0.16864275 0.89886152 1
601 2693.80919186 0.55301494 0.17414309 0.83762176 0
593 2640.27861973 0.55250553 0.17525979 0.84541592 1
603 2714.36933941 0.55291298 0.17304397 0.86071142 1
608 2762.05920840 0.55383195 0.17546389 0.79886366 0
598 2705.60877288 0.55281106 0.17208114 0.85973043 1
652 3167.87262267 0.55826508 0.17463930 0.91391370 1
586 2570.65878053 0.55057830 0.16772556 0.87014278 0
594 2666.87662484 0.55199706 0.17180802 0.90031093 0
611 2833.83551541 0.55332103 0.17014301 0.87789142 0
612 2840.03654543 0.55281106 0.16453794 0.86503173 1
590 2589.51725629 0.55281106 0.17989698 0.85065837 1
585 2548.53328366 0.55189547 0.17778949 0.82282436 1
606 2737.84860708 0.55291298 0.17132804 0.86384462 1
649 3171.91207283 0.55743494 0.17157926 0.93282675 0
666 3313.83414154 0.55816118 0.16764434 0.94072774 1
624 2918.49868202 0.55516475 0.17277853 0.89813935 0
628 2993.50415949 0.55444629 0.16481273 0.89935737 0
573 2483.25766596 0.55078053 0.17522791 0.83670350 0
601 2697.13107824 0.55281106 0.17295618 0.88527778 1
