Degree Betweenness Closeness Clustering Eigenvector Membership
1 0.00000000 0.00304329 0.00000000 0.00000000 0
4 3469.74748037 0.00305171 0.00000000 0.01065485 0
1 0.00000000 0.00028506 0.00000000 0.00000000 1
1 0.00000000 0.00028506 0.00000000 0.00000000 1
1 0.00000000 0.00305033 0.00000000 0.00000000 122
15 45008.04518815 0.00305880 0.01904762 0.00322445 122
6 17458.83333333 0.00305058 0.00000000 0.00568461 122
11 9045.87323612 0.00305205 0.01818182 0.05445052 122
2 0.00000000 0.00304389 0.00000000 0.00000000 144
10 40203.12754000 0.00305214 0.06666667 0.11763303 144
1 0.00000000 0.00304371 0.00000000 0.01748128 144
2 0.00000000 0.00304326 0.00000000 0.00238576 124
10 8040.42658730 0.00305168 0.13333333 0.01605401 124
14 20276.27915470 0.00305967 0.03296703 0.04657665 0
1 0.00000000 0.00028506 0.00000000 0.00000000 2
1 0.00000000 0.00028506 0.00000000 0.00000000 2
1 0.00000000 0.00028514 0.00000000 0.00000000 3
2 1.00000000 0.00028514 0.00000000 0.00000000 3
1 0.00000000 0.00028514 0.00000000 0.00000000 3
2 0.00000000 0.00304222 0.00000000 0.00393013 0
3 654.00000000 0.00305064 0.00000000 0.02644616 146
30 0.00000000 0.00305431 0.00919540 0.00000000 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
3 0.00000000 0.00305914 0.33333333 0.14936832 146
3 0.00000000 0.00305937 0.33333333 0.18856141 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
2 14.51515152 0.00304633 0.00000000 0.00000000 0
2 0.00000000 0.00305853 0.00000000 0.14860859 146
11 0.00000000 0.00305887 0.07272727 0.22548832 146
2 0.00000000 0.00305109 1.00000000 0.03644256 145
3 0.00000000 0.00305871 0.00000000 0.15610462 146
8 0.00000000 0.00306005 0.10714286 0.21140565 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
25 74038.27804198 0.00306027 0.02666667 0.38875578 146
5 0.00000000 0.00305261 0.00000000 0.02284424 130
9 3294.91666667 0.00305346 0.11111111 0.00104548 128
2 0.00000000 0.00305853 0.00000000 0.14860859 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
2 0.00000000 0.00305372 0.00000000 0.02258325 142
3 96.19101307 0.00305315 0.33333333 0.03777622 146
8 0.00000000 0.00306054 0.17857143 0.21351134 128
1 0.00000000 0.00304587 0.00000000 0.00000000 146
24 63118.36272435 0.00305891 0.03985507 0.24522513 145
3 0.00000000 0.00304963 0.33333333 0.02760249 146
7 1254.83222222 0.00305240 0.14285714 0.05137990 145
1 0.00000000 0.00304587 0.00000000 0.00000000 146
5 0.00000000 0.00304744 0.00000000 0.03371529 146
2 1.00000000 0.00304588 0.00000000 0.00000000 0
1 0.00000000 0.00304587 0.00000000 0.00000000 146
1 0.00000000 0.00304587 0.00000000 0.00000000 146
6 0.00000000 0.00305076 0.00000000 0.00000000 145
5 0.00000000 0.00305851 0.10000000 0.17069311 145
1 0.00000000 0.00304234 0.00000000 0.00000000 145
1 0.00000000 0.00304234 0.00000000 0.00000000 145
20 10901.79638256 0.00305906 0.06315789 0.23820588 145
