Degree Betweenness Closeness Clustering Eigenvector Membership
5 0.00000000 0.16139275 0.20000000 0.00000000 0
9 0.00000000 0.17758171 0.02777778 0.00000000 2
4 2389.48170996 0.15858495 0.16666667 0.00000000 21
4 0.00000000 0.16386187 0.16666667 0.00000000 32
8 1216.55450938 0.17660915 0.07142857 0.00000000 24
5 4485.08862751 0.16376345 0.10000000 0.00000000 32
8 5347.14129241 0.17241578 0.17857143 0.00000000 32
6 933.01825817 0.17092215 0.20000000 0.00000000 32
6 5963.40726374 0.16904346 0.13333333 0.00000000 32
9 8372.13795970 0.17668198 0.05555556 0.00000000 28
6 5175.20231819 0.17370403 0.13333333 0.00000000 28
8 8805.53296329 0.17234642 0.10714286 0.00000000 28
8 2257.24241918 0.16895775 0.10714286 0.00000000 22
6 6624.54971352 0.16449100 0.20000000 0.00000000 28
4 1017.34609720 0.15713911 0.33333333 0.00000000 28
6 7427.69063975 0.16903393 0.06666667 0.00000000 4
6 3926.12895520 0.16822797 0.06666667 0.00000000 28
5 3776.89705850 0.16608517 0.10000000 0.00000000 28
7 14602.23100772 0.17193143 0.09523810 0.00000000 4
7 6084.42503796 0.17583255 0.09523810 0.00000000 21
6 3481.89396955 0.17041709 0.00000000 0.00000000 27
4 4496.58936372 0.16174964 0.50000000 0.00000000 21
8 4773.54362759 0.17291282 0.10714286 0.00000000 14
6 6601.35810570 0.16607598 0.13333333 0.00000000 30
6 6558.08498868 0.17190187 0.06666667 0.00000000 30
7 7684.93147802 0.17431993 0.00000000 0.00000000 30
6 6230.66184656 0.16477117 0.00000000 0.00000000 23
5 0.00000000 0.16420280 0.00000000 0.00000000 6
4 2466.27359344 0.16102878 0.16666667 0.00000000 6
4 5335.41410799 0.15767613 0.16666667 0.00000000 6
6 2641.33065684 0.17087345 0.00000000 0.00000000 6
6 11553.93528301 0.16868215 0.06666667 0.00000000 6
5 763.03532162 0.16820910 0.00000000 0.00000000 6
6 11615.91202131 0.17146941 0.00000000 0.00000000 30
6 2725.54434871 0.17022363 0.00000000 0.00000000 30
3 1049.12287941 0.16116724 0.00000000 0.00000000 30
6 0.00000000 0.17223754 0.00000000 0.00000000 22
4 0.00000000 0.16665740 0.00000000 0.00000000 25
4 0.00000000 0.16145357 0.00000000 0.00000000 5
5 1627.84381942 0.16393353 0.00000000 0.00000000 5
1 0.00000000 0.14960591 0.00000000 0.00000000 7
4 2539.30842551 0.16035718 0.00000000 0.00000000 5
8 0.00000000 0.17887391 0.03571429 0.00000000 10
5 0.00000000 0.16404113 0.00000000 0.00000000 25
8 4402.37815856 0.17370403 0.03571429 0.00000000 3
7 7856.34759745 0.17137143 0.04761905 0.00000000 12
2 1210.11240981 0.15247344 0.00000000 0.00000000 8
5 3267.11240981 0.16327308 0.00000000 0.00000000 8
6 7195.02243193 0.16905299 0.00000000 0.00000000 12
7 0.00000000 0.17553409 0.00000000 0.00000000 27
3 5624.49244005 0.15442047 0.33333333 0.00000000 25
4 2783.38646686 0.15783380 0.16666667 0.00000000 25
5 0.00000000 0.17345286 0.00000000 0.00000000 22
5 6168.20135281 0.16662037 0.10000000 0.00000000 25
4 4767.12912143 0.16101149 0.33333333 0.00000000 3
10 7935.68392531 0.17807731 0.02222222 0.00000000 15
8 2209.09334729 0.16916742 0.03571429 0.00000000 3
6 9507.60517318 0.17020431 0.20000000 0.00000000 3
6 5991.86681729 0.17108791 0.06666667 0.00000000 15
6 9502.88070874 0.17032998 0.20000000 0.00000000 14
12 10383.80415936 0.18092423 0.04545455 0.00000000 14
8 6297.64511223 0.17670280 0.03571429 0.00000000 14
7 6464.13877246 0.17391556 0.00000000 0.00000000 3
6 3403.96718779 0.17297266 0.00000000 0.00000000 14
7 0.00000000 0.16881509 0.14285714 0.00000000 0
6 5276.34018701 0.17103912 0.20000000 0.00000000 14
9 4979.47795553 0.17248519 0.11111111 0.00000000 0
9 2081.27900476 0.17540063 0.13888889 0.00000000 0
5 593.50353535 0.16080429 0.40000000 0.00000000 0
3 353.63044733 0.15175590 0.33333333 0.00000000 0
6 2610.68634976 0.16428376 0.13333333 0.00000000 0
5 1657.60317460 0.16483456 0.20000000 0.00000000 0
4 0.00000000 0.16274148 0.00000000 0.00000000 24
7 0.00000000 0.17353316 0.04761905 0.00000000 32
4 42.25000000 0.16468069 0.16666667 0.00000000 21
5 4886.85238095 0.16624169 0.10000000 0.00000000 22
3 2555.22475580 0.16234504 0.00000000 0.00000000 3
