Degree Betweenness Closeness Clustering Eigenvector Membership
22 595.79342006 0.45262616 0.39826840 0.00000000 0
78 1617.02188175 0.38132127 0.17649018 0.00000000 1
16 895.07112844 0.45109971 0.43333333 0.00000000 0
154 19518.14802789 0.48270181 0.07206519 0.00000000 1
32 1410.75167769 0.46656051 0.32862903 0.00000000 0
29 381.29279060 0.44570808 0.23399015 0.00000000 1
157 12660.71729828 0.48221003 0.19083782 0.00000000 1
75 3352.15840375 0.47077276 0.19351351 0.00000000 1
101 23587.08071625 0.48096615 0.12019802 0.00000000 0
22 1448.79270518 0.47352624 0.35064935 0.00000000 0
60 6050.60564810 0.47790291 0.19491525 0.00000000 0
67 4763.44571346 0.46472810 0.24287653 0.00000000 1
12 103.58009969 0.45369415 0.54545455 0.00000000 0
35 2775.56347132 0.46847876 0.29915966 0.00000000 0
32 34.41238186 0.46787317 0.37903226 0.00000000 1
68 3573.40472683 0.46103701 0.25636523 0.00000000 1
115 7865.04218838 0.47753201 0.13638444 0.00000000 1
831 6805.76098831 0.52299193 0.04168588 0.00000000 1
72 149.69642339 0.47381796 0.24765258 0.00000000 1
29 1225.67148103 0.46553681 0.31527094 0.00000000 0
111 469.50565981 0.46486854 0.10532351 0.00000000 1
604 38716.27319410 0.50662824 0.03310160 0.00000000 1
2489 189857.28551728 0.61419445 0.01329289 0.00000000 0
271 1977.59007213 0.47561258 0.05731857 0.00000000 1
3493 523866.09502621 0.68756286 0.00977491 0.00000000 0
159 2284.76889762 0.47779158 0.13979779 0.00000000 1
47 5031.99089382 0.44791439 0.15448659 0.00000000 1
60 5369.82540135 0.47954173 0.17401130 0.00000000 0
15 83.75383293 0.44069618 0.30476190 0.00000000 0
2875 326876.30354757 0.64234262 0.01271441 0.00000000 0
58 777.10889779 0.47425620 0.28191168 0.00000000 1
97 1264.32164728 0.46890718 0.15528351 0.00000000 1
41 1228.60934717 0.46641904 0.35000000 0.00000000 0
117 9871.62044224 0.47675500 0.24874742 0.00000000 1
42 355.64829298 0.47008939 0.33449477 0.00000000 0
39 299.62177952 0.45648787 0.27935223 0.00000000 1
18 258.72132995 0.44713320 0.22875817 0.00000000 0
27 1299.85198324 0.44968209 0.25925926 0.00000000 0
52 5290.42808733 0.47080878 0.22624434 0.00000000 0
214 22081.33759061 0.48255039 0.06107674 0.00000000 1
80 6889.99340326 0.45222696 0.25822785 0.00000000 1
114 4138.20587623 0.45389495 0.07560938 0.00000000 1
38 1588.20753216 0.47189202 0.26600284 0.00000000 0
30 811.96643292 0.44234364 0.30114943 0.00000000 1
47 929.07293837 0.46670206 0.18963922 0.00000000 0
177 11853.86405134 0.46894292 0.13109913 0.00000000 1
27 3325.30848118 0.46915745 0.37321937 0.00000000 0
37 982.87125035 0.44177197 0.17117117 0.00000000 1
20 137.29833319 0.47174730 0.46315789 0.00000000 0
90 4622.66080132 0.47531866 0.25817728 0.00000000 1
