nodei nodej path-lenght
0 1 2
0 2 3
0 3 3
0 4 2
0 5 3
0 6 3
0 7 3
0 8 1
0 9 2
0 10 2
0 11 2
0 12 2
0 13 2
0 14 1
0 15 2
0 16 3
0 17 3
0 18 2
0 19 3
0 20 3
0 21 3
0 22 2
0 23 1
0 24 2
0 25 2
0 26 2
0 27 3
0 28 1
0 29 1
1 2 1
1 3 2
1 4 2
1 5 3
1 6 2
1 7 2
1 8 2
1 9 3
1 10 1
1 11 2
1 12 2
1 13 1
1 14 2
1 15 2
1 16 1
1 17 3
1 18 2
1 19 2
1 20 2
1 21 2
1 22 1
1 23 3
1 24 2
1 25 2
1 26 1
1 27 2
1 28 1
1 29 1
2 3 2
2 4 3
2 5 2
2 6 3
2 7 3
2 8 2
2 9 2
2 10 1
2 11 1
2 12 2
2 13 1
2 14 2
2 15 2
2 16 2
2 17 2
2 18 2
2 19 3
2 20 1
2 21 2
2 22 2
2 23 3
2 24 1
2 25 2
2 26 2
2 27 2
2 28 2
2 29 2
3 4 3
3 5 2
3 6 3
3 7 2
3 8 3
3 9 1
3 10 2
3 11 2
3 12 2
3 13 2
3 14 2
3 15 2
3 16 2
3 17 1
3 18 2
3 19 2
3 20 2
3 21 1
3 22 1
3 23 3
3 24 1
3 25 1
3 26 1
3 27 2
3 28 2
3 29 3
4 5 2
4 6 4
4 7 3
4 8 3
4 9 3
4 10 3
4 11 3
4 12 2
4 13 2
4 14 2
4 15 1
4 16 3
4 17 3
4 18 3
4 19 4
4 20 3
4 21 3
4 22 2
4 23 3
4 24 4
4 25 4
4 26 3
4 27 3
4 28 3
4 29 1
5 6 2
5 7 3
5 8 2
5 9 2
5 10 2
5 11 2
5 12 1
5 13 2
5 14 2
5 15 1
5 16 2
5 17 1
5 18 1
5 19 2
5 20 1
5 21 2
5 22 2
5 23 2
5 24 2
5 25 2
5 26 2
5 27 2
5 28 2
5 29 3
6 7 3
6 8 2
6 9 2
6 10 2
6 11 2
6 12 3
6 13 3
6 14 3
6 15 3
6 16 1
6 17 3
6 18 1
6 19 1
6 20 2
6 21 2
6 22 2
6 23 2
6 24 2
6 25 2
6 26 2
6 27 2
6 28 2
6 29 3
7 8 3
7 9 3
7 10 3
7 11 2
7 12 3
7 13 3
7 14 3
7 15 2
7 16 2
7 17 2
7 18 3
7 19 3
7 20 3
7 21 2
7 22 1
7 23 4
7 24 3
7 25 1
7 26 3
7 27 3
7 28 2
7 29 3
8 9 2
8 10 1
8 11 1
8 12 1
8 13 3
8 14 2
8 15 2
8 16 3
8 17 2
8 18 1
8 19 2
8 20 3
8 21 2
8 22 2
8 23 1
8 24 2
8 25 2
8 26 2
8 27 2
8 28 2
8 29 2
9 10 2
9 11 3
9 12 1
9 13 2
9 14 1
9 15 2
9 16 2
9 17 2
9 18 2
9 19 1
9 20 1
9 21 2
9 22 2
9 23 2
9 24 1
9 25 2
9 26 2
9 27 3
9 28 2
9 29 3
10 11 2
10 12 1
10 13 2
10 14 2
10 15 2
10 16 2
10 17 3
10 18 1
10 19 2
10 20 2
10 21 2
10 22 2
10 23 2
10 24 1
10 25 2
10 26 1
10 27 2
10 28 1
10 29 2
11 12 2
11 13 2
11 14 3
11 15 2
11 16 2
11 17 1
11 18 1
11 19 2
11 20 2
11 21 1
11 22 1
11 23 2
11 24 2
11 25 1
11 26 2
11 27 1
11 28 2
11 29 3
12 13 2
12 14 1
12 15 1
12 16 2
12 17 2
12 18 2
12 19 2
12 20 2
12 21 1
12 22 2
12 23 2
12 24 2
12 25 2
12 26 2
12 27 2
12 28 1
12 29 3
13 14 1
13 15 1
13 16 2
13 17 3
13 18 2
13 19 3
13 20 2
13 21 2
13 22 2
13 23 2
13 24 2
13 25 3
13 26 1
13 27 1
13 28 2
13 29 2
14 15 1
14 16 3
14 17 3
14 18 2
14 19 2
14 20 2
14 21 2
14 22 2
14 23 1
14 24 2
14 25 2
14 26 1
14 27 2
14 28 1
14 29 2
15 16 2
15 17 2
15 18 2
15 19 3
15 20 2
15 21 2
15 22 1
15 23 2
15 24 3
15 25 3
15 26 2
15 27 2
15 28 2
15 29 2
16 17 2
16 18 2
16 19 1
16 20 1
16 21 1
16 22 1
16 23 3
16 24 3
16 25 1
16 26 2
16 27 1
16 28 2
16 29 2
17 18 2
17 19 3
17 20 2
17 21 1
17 22 2
17 23 3
17 24 2
17 25 1
17 26 2
17 27 2
17 28 2
17 29 4
18 19 1
18 20 2
18 21 1
18 22 2
18 23 1
18 24 1
18 25 2
18 26 1
18 27 1
18 28 1
18 29 3
19 20 2
19 21 2
19 22 2
19 23 2
19 24 2
19 25 2
19 26 2
19 27 2
19 28 2
19 29 3
20 21 2
20 22 2
20 23 3
20 24 2
20 25 2
20 26 3
20 27 2
20 28 3
20 29 3
21 22 1
21 23 2
21 24 2
21 25 1
21 26 2
21 27 1
21 28 2
21 29 3
22 23 3
22 24 2
22 25 2
22 26 2
22 27 2
22 28 1
22 29 2
23 24 2
23 25 3
23 26 2
23 27 2
23 28 2
23 29 2
24 25 2
24 26 2
24 27 2
24 28 1
24 29 3
25 26 2
25 27 2
25 28 1
25 29 3
26 27 2
26 28 2
26 29 2
27 28 2
27 29 3
28 29 2
